m/z;I
722.35839;139166
899.49452;276129
950.46968;224118
987.99935;465028
992.51705;203865
1026.4976;181232
1036.08213;168407
1065.59676;761287
1095.5653;483871
1105.57495;2971956
1106.55948;1068965
1115.54472;190755
1121.61845;219547
1136.60711;153111
1146.56571;169759
1153.56108;185599
1162.62212;881182
1166.62857;348527
1167.53919;129089
1167.57637;307140
1167.61203;219470
1177.56727;568772
1178.55185;1020680
1182.55085;195557
1186.62163;111224
1192.68011;198002
1201.58487;490855
1207.60753;176498
1208.67346;717547
1209.65933;778451
1227.56037;149173
1241.66037;1759449
1251.70903;157981
1267.67613;985497
1267.70493;1279125
1273.70206;190947
1319.63568;302587
1328.69788;172577
1335.62997;258028
1346.71741;143118
1383.80039;441425
1384.7302;446393
1391.2374;162747
1409.71224;145907
1427.72818;19824760
1432.68228;350435
1435.68324;4910849
1443.72309;525270
1447.75514;345431
1449.71191;390150
1453.74441;2686677
1459.69403;4830314
1465.69274;679867
1469.7383;148476
1475.75029;424040
1532.7837;405030
1549.76655;244802
1561.79948;1820483
1562.78314;1688145
1580.7675;1375765
1589.77886;245651
1616.80568;1797641
1638.86194;225128
1648.82894;10560726
1655.80019;232049
1655.81634;906090
1656.79798;545637
1690.77872;432064
1698.82176;928619
1706.77409;909248
1713.81849;166486
1716.91686;270457
1719.84379;1354278
1726.86639;1190408
1764.86478;187599
1769.89495;574834
1795.91336;182366
1799.79941;737337
1800.88956;786661
1804.93131;685923
1816.86555;1113232
1832.86098;4090663
1848.85654;2929694
1864.85137;226502
1888.91799;401068
1892.92107;282357
1922.93422;2980852
1933.97296;478631
1951.9541;130811
1958.97241;1591296
1975.99461;47097192
2014.04733;1473149
2019.97451;2573919
2030.04636;734873
2030.07194;304918
2039.07145;985754
2051.97629;301256
2056.09258;21767964
2072.09287;11466106
2073.99789;3334283
2075.98811;896906
2078.07923;312076
2088.08502;251148
2089.9901;2839914
2105.9838;1018189
2121.98577;194935
2131.11719;33532896
2145.12917;3336903
2146.94178;346589
2147.11039;755684
2153.09751;576100
2186.17093;961395
2202.16097;517501
2204.01987;947687
2211.10389;661498
2216.06213;9700207
2227.00666;366203
2234.08692;1884712
2238.04665;335988
2240.06325;368549
2256.05092;3936327
2265.05235;695650
2272.04833;862000
2282.06139;323689
2284.16784;560149
2293.11706;769075
2297.08013;310929
2307.13596;514674
2316.13607;706123
2322.07158;306803
2332.12833;682384
2336.20601;189271
2392.11149;195752
2395.12451;553883
2410.12871;2623588
2455.22687;1586484
2471.21661;3720623
2484.22912;4164569
2487.20676;3905101
2497.20414;1217412
2501.22409;1238544
2510.08283;816794
2513.20634;661331
2532.20149;363023
2543.23376;157528
2549.23267;924826
2566.20529;1528812
2573.26353;414718
2582.20461;962863
2589.25389;1035841
2612.19288;745909
2651.25342;1005961
2652.23281;477453
2704.24651;5843814
2706.23278;4805713
2719.23317;967977
2720.21331;888384
2759.29325;743289
2767.32457;5998377
2781.34076;10461814
2793.33601;1920471
2853.4067;22887528
2869.40409;4147565
2879.38221;536043
2883.42145;8576884
2896.42515;422769
2899.42457;1279479
2930.33653;260262
2999.50707;269348
3009.40451;909831
3010.37857;894734
3018.3417;2295513
3019.31914;2096910
3020.29705;650676
3033.48579;4080264
3034.46204;2128548
3093.5046;474056
3100.42207;1331267
3101.39665;1596964
3116.4224;2609080
3117.40101;4186832
3118.37717;2168833
3135.5245;353328
3169.45382;435933
3216.50189;221214
3228.49654;2190987
3243.35728;542337
3244.48702;405525
3414.6105;479865
3502.58917;748040
3646.7047;892642
3974.98968;217233
3991.03652;712306
4068.91169;359399
4085.90982;364962
4153.0878;462495
4186.06462;276072
4203.06473;381868
4287.04196;303286
4303.04203;396280
4349.09867;707290
4365.09432;1101103
4507.1332;1287461
4553.11682;569812
