m/z,I
854.41181,193334
898.47434,172979
898.51102,487567
1048.59018,292843
1054.49154,169926
1096.53847,317191
1105.57521,4646130
1108.50297,143284
1121.61818,355257
1150.59673,182365
1153.56014,234817
1167.57587,241696
1182.61177,562183
1183.57084,347287
1193.66326,179729
1196.56569,251615
1208.67478,3610983
1209.65907,1025417
1217.66424,599032
1241.55831,317727
1241.66035,1052821
1267.67585,730757
1273.70175,204172
1281.61846,587964
1387.69368,422606
1402.67162,268592
1403.72851,198357
1409.71819,303678
1417.72945,488749
1420.68146,160188
1427.72821,16006804
1435.68256,5949101
1443.72323,676641
1458.66199,1362938
1459.69325,3165811
1473.67322,2033256
1476.78108,207987
1532.78177,419619
1561.79823,10159733
1562.78231,3819481
1562.82959,2383244
1580.76811,1737772
1585.77229,1934006
1586.75633,3186291
1604.81463,408831
1615.81997,2436118
1637.72375,226776
1648.77898,231079
1648.82908,1091243
1706.77359,1716774
1716.91555,282583
1759.71812,364752
1783.80274,740936
1787.90412,320704
1804.93044,6477030
1832.86013,3563054
1838.97532,207076
1848.85555,2040219
1899.99174,277152
1922.93273,4059496
1930.96534,186724
1933.97199,376696
1958.96967,1362599
1975.99489,20586040
1997.99167,1501783
2014.07126,436456
2019.97329,1049659
2039.95433,1304397
2040.93901,562813
2056.09239,19066796
2056.97849,16571207
2057.96393,6762963
2072.09076,12199571
2073.01345,3452082
2073.99871,1071997
2088.08558,462427
2089.00651,6954420
2089.99205,2136283
2105.00090,2421349
2105.98533,693796
2118.09391,263120
2126.00999,207137
2131.11617,16740382
2146.94315,374558
2147.10859,533007
2198.97226,3398489
2216.05847,22113114
2232.05653,1630453
2261.12855,1054176
2265.05417,252691
2272.04713,453802
2303.02859,316074
2307.13791,1447487
2316.04865,495182
2348.08530,501237
2364.08367,702699
2390.18050,403615
2410.13672,1901566
2470.22105,443397
2481.21031,883434
2487.20851,2122350
2497.20590,3277436
2501.16557,471310
2513.20305,3929980
2549.21263,1657123
2566.20674,1533672
2581.22921,2488435
2589.25531,292733
2607.29251,263194
2667.24290,419242
2675.24082,462319
2689.25910,841961
2705.25223,16492810
2719.23304,8689798
2735.22738,530679
2742.25665,1581162
2743.28382,1279481
2759.28637,4678478
2763.32077,1775060
2769.34943,322870
2775.28165,3644532
2780.35158,11476563
2781.33387,14514913
2792.32676,9028065
2853.40850,22830974
2869.40476,2674497
2880.38433,472182
2907.33677,242915
2930.33808,696397
2987.32473,719675
2988.30404,1148262
2989.28405,468721
3009.39857,1215608
3017.36123,5999751
3018.33954,4625625
3019.31764,1117245
3033.48533,7174984
3049.48426,284509
3052.40092,940219
3084.41427,1221913
3100.41230,9340236
3101.38895,3678521
3116.41105,4967781
3117.38682,1924381
3183.47694,5064469
3184.45285,3212277
3227.52062,4657189
3228.49129,1118560
3243.51072,588512
3399.61131,645353
3502.58073,662813
4096.94013,419791
4112.93729,1246333
4128.93427,475278
4152.09003,439432
4302.04473,914860
4318.04145,527328
4364.10464,1379494
4507.14745,968308
4523.13855,294259
