m/z,I
728.36862,290761
892.46380,847837
892.50037,475299
898.47470,1032622
908.49534,199776
992.51635,236326
1010.50162,339069
1048.59013,221601
1071.48937,323098
1088.59647,355906
1094.53419,504666
1105.57534,4690927
1105.62292,886622
1107.51831,191048
1108.50246,266814
1121.61775,413585
1128.51011,263639
1136.54439,191448
1136.60671,355388
1137.56498,169704
1139.54413,263722
1146.56503,388776
1148.54456,286872
1153.56024,827947
1162.62187,767143
1163.59167,1058383
1164.60128,434498
1167.53892,235671
1167.57570,1266487
1181.52171,285976
1182.61198,384934
1183.57085,1581842
1193.62779,246813
1196.56593,253786
1203.62346,365822
1208.67504,2030453
1209.65920,751926
1215.61138,262386
1224.53118,297936
1241.55873,1837963
1241.66058,1135364
1244.60196,201569
1251.65129,262075
1261.59244,352679
1261.62840,424226
1266.64392,294041
1267.67580,865189
1273.69029,246722
1273.70152,335916
1281.61892,476955
1290.68107,135513
1301.62374,212705
1316.67101,374982
1324.66838,498477
1343.67089,467418
1346.64565,392460
1346.71817,215733
1363.73311,178320
1370.60089,385916
1379.61908,293356
1392.68683,250337
1409.72257,234598
1427.72861,9559089
1429.75440,258302
1435.68249,3433351
1443.72332,343447
1443.79589,280708
1447.75516,215918
1458.66124,389303
1459.69398,2299882
1473.67290,1250945
1483.71386,485250
1496.75334,502092
1540.66970,436656
1561.79828,7106985
1562.78243,3453137
1562.82983,1799724
1580.76818,1190456
1585.77246,1522727
1586.75687,2545915
1589.77824,458436
1596.76333,391377
1604.81437,619712
1605.79866,325462
1608.74003,290916
1616.80464,615890
1636.77294,295399
1637.72385,1238566
1648.82919,706862
1694.74489,735575
1706.77343,629946
1716.91473,561734
1717.78919,275873
1742.74123,663613
1743.72600,557877
1769.89456,308175
1782.81876,1171700
1783.80300,1463808
1787.90394,341878
1791.82670,255127
1795.91017,582561
1804.93079,3974544
1814.91332,198855
1816.86562,3629727
1831.94150,213337
1832.86049,3283429
1838.97590,478012
1848.85578,333540
1874.82707,222655
1892.92216,301580
1899.89503,171565
1899.99308,410815
1922.93314,2381914
1932.97038,576886
1935.95209,180682
1958.96947,1740678
1961.98030,1038302
1974.89057,493985
1975.99517,14787739
1997.99172,3430607
2014.07202,813874
2014.95665,254374
2028.06441,1292907
2038.08458,1393880
2039.06898,1913786
2044.05747,1066250
2056.09299,21281282
2056.97948,5829012
2057.96444,2541541
2072.09035,7457813
2073.01282,1276902
2088.08489,271492
2089.00731,1639550
2089.99243,594284
2104.99996,462650
2113.10431,197876
2115.97083,232726
2131.11609,7754514
2146.94211,313872
2198.97211,2082870
2216.05896,4673652
2232.05661,697116
2264.16748,282356
2266.05807,476861
2275.14306,408054
2322.09520,367169
2335.20215,228516
2364.08368,357762
2390.18072,296608
2419.14772,579310
2442.13058,247451
2471.21748,303574
2487.20986,776296
2497.20694,1396254
2508.18885,286240
2513.20357,984629
2533.19034,651564
2550.21541,4577255
2565.20704,619757
2578.17413,285177
2581.23797,1892717
2591.27082,194970
2663.18432,224797
2675.24446,474261
2689.26004,2577349
2705.25377,20064310
2713.24639,389251
2719.23353,2473514
2726.26025,1740692
2743.28819,4275750
2763.32333,1715698
2780.34583,7615616
2781.33315,9230100
2785.29947,1468300
2792.32737,4729452
2814.32577,510848
2820.35112,700203
2853.41104,8466404
2869.40764,1181928
2883.42392,932957
3001.37030,811798
3009.40224,994260
3017.36318,3817949
3018.34166,2363477
3033.48827,5795622
3052.40350,630865
3084.41441,6150896
3098.40061,1176315
3100.41194,26383142
3116.40984,3229863
3132.40353,397270
3183.47603,1651404
3227.52149,1208004
3399.60507,805730
3665.57325,783104
3736.61026,821442
4036.89733,1008876
4053.92164,609967
4069.91521,1054097
4085.90408,552988
4096.94462,1387472
4112.93960,2020898
4128.93426,469648
4269.02101,281040
4286.05962,1012889
4302.05034,2442930
4318.04316,800657
4348.11709,886451
4364.10783,2438717
4507.15354,1507563
4523.14558,329834
