m/z,I
836.43758,247823
898.40180,298579
898.47451,552318
898.51092,550577
974.43634,469161
997.46995,351508
1010.50149,418318
1026.49681,505673
1048.59006,217618
1063.52786,173742
1080.50700,234019
1095.56559,326996
1096.53843,1005675
1103.47891,159424
1105.57520,3131928
1107.51782,267135
1121.61756,306349
1146.56488,393471
1150.59630,399730
1153.56009,748882
1162.62193,525606
1163.59201,1029076
1183.57072,558047
1193.51849,229120
1193.62739,290805
1196.63855,944731
1204.60730,171192
1215.61163,329211
1224.56095,338879
1226.57654,487624
1241.66036,195813
1251.64442,210982
1259.64873,240835
1267.67516,598408
1273.70177,377446
1340.66310,403446
1346.71796,413272
1420.68210,563947
1427.72810,6400440
1469.70547,287188
1483.71482,189472
1515.73041,170118
1528.74194,253905
1533.77071,363731
1550.75632,699360
1561.79790,3381339
1562.78225,1578150
1562.82900,694712
1585.77228,991212
1586.75624,1427159
1604.81383,687582
1615.81977,1405879
1620.80879,266835
1648.82882,1216323
1653.71771,370133
1669.71146,235051
1688.88191,478428
1698.81996,738378
1716.87809,317490
1716.91507,690952
1719.84050,197263
1750.83508,356144
1775.71357,210503
1791.82704,396811
1804.93018,6594257
1806.74219,1060992
1815.79324,818676
1818.88935,337071
1822.73921,453553
1826.91399,317681
1832.85986,1717736
1836.75201,525712
1838.97526,336784
1848.85549,3965642
1864.84980,1946821
1870.83593,248060
1892.92159,2472557
1916.95803,504424
1933.97264,390604
1975.99467,14187878
2030.06874,199866
2039.06846,632615
2039.95365,974531
2056.09235,8015751
2056.97886,8974491
2072.08972,6922238
2073.01252,947161
2078.07665,230759
2078.96491,263662
2089.00475,1301070
2115.12076,1642601
2131.11561,4432785
2153.09481,232052
2207.14544,219814
2214.96742,299208
2216.05807,2484808
2230.96569,1640243
2232.05525,861507
2281.13253,247808
2283.06725,339735
2293.12344,210733
2298.07708,543887
2348.08397,270949
2364.08433,438653
2368.12978,1285729
2403.15012,328823
2418.14366,251338
2481.21080,690198
2485.22948,1674689
2497.20592,1052280
2501.22669,547829
2513.20318,1064081
2566.20570,486402
2576.24777,611844
2582.19994,1940373
2592.24319,393779
2598.22739,221728
2610.16739,515107
2650.29910,353577
2689.25880,3659837
2705.25198,23233030
2719.23248,4076633
2727.23747,1536233
2742.25517,561356
2749.30582,1105438
2759.28336,2171991
2767.32127,9737191
2775.27920,6322277
2791.27445,3579198
2792.32598,5605848
2813.29974,377258
2847.41960,439312
2861.35561,348395
2883.42302,10562374
2889.35161,1674098
2899.42098,3628537
2905.40825,867461
2926.43470,537126
2942.42987,296490
2946.33438,687679
2962.32486,761110
2967.39531,1269781
2971.31005,327385
2987.30518,1024547
3001.36714,2829038
3017.35975,8793531
3033.48656,5252253
3036.40461,621085
3039.34027,717717
3055.47204,388323
3084.41256,1253493
3100.41036,7053254
3116.40675,17647272
3132.40246,11024156
3138.38955,1411824
3148.39982,476862
3154.38622,761555
3167.48034,897685
3183.47395,2861044
3227.51923,1256857
3243.50830,728362
3382.57139,567333
3398.57169,741213
3456.62728,802662
3575.66008,574993
3722.59162,1197156
3736.69847,236035
3835.76223,376835
3872.75664,428647
3888.74954,671228
3959.00167,531736
3974.98786,506102
4033.04381,424620
4035.89530,845319
4085.90354,297563
4096.94145,4133828
4112.93818,2486132
4127.92467,507871
4153.08718,469447
4202.06715,1568471
4271.00348,528609
4286.05878,1325823
4302.04878,3566434
4318.03951,2010881
4348.11413,1029782
4364.10548,1864034
4479.12035,805707
4485.12434,221785
4495.11222,500953
