m/z;I
700.34124;269114
722.35845;414151
836.43788;624168
892.46409;1267931
894.44328;162740
894.47934;222427
898.51121;799605
900.41751;152482
952.46784;565705
953.48058;341288
992.5167;240356
996.47491;208935
1007.48976;201264
1010.502;800228
1024.51784;183613
1026.49697;233742
1032.54766;733568
1048.59073;276531
1048.60224;155023
1064.51242;334911
1071.48941;230501
1088.59693;380703
1105.57561;5922559
1105.62323;1009964
1106.55984;1216981
1107.51779;315430
1108.57551;498411
1121.6179;511629
1125.52955;438453
1137.52919;289143
1138.56005;937231
1139.54415;447046
1142.59783;116182
1148.54511;249413
1151.5806;430912
1154.58083;712479
1162.62225;934742
1163.59244;1172494
1165.52395;509430
1167.57626;1022634
1180.64406;955399
1181.62819;337220
1183.57113;1635464
1193.51898;190399
1193.555;458060
1193.62765;507884
1194.52223;413500
1196.63916;1041267
1199.56481;165410
1203.62356;441599
1208.56596;361404
1224.53177;313646
1224.63367;197682
1226.57694;376109
1241.55905;1773702
1241.66062;1502897
1248.59775;209478
1251.65192;289691
1254.53556;269101
1255.67528;278674
1259.64977;268213
1261.62902;468547
1264.62939;427716
1267.67607;1054352
1273.70213;521807
1282.6395;251160
1308.67424;814252
1312.74851;335315
1319.63548;478653
1324.62501;303050
1343.67185;355659
1374.75027;662498
1379.61922;322533
1386.77525;184960
1392.68746;658474
1409.71705;372338
1417.73051;485179
1420.68189;180469
1427.72865;13567651
1435.68283;4138319
1439.72436;267439
1443.7225;361112
1443.79642;432475
1447.75523;222358
1459.69421;2519786
1472.78659;310217
1473.67366;1229145
1483.71489;573930
1486.77721;199437
1500.7199;434648
1520.73526;358736
1525.68878;215028
1540.67055;366717
1546.72372;136832
1557.66872;830887
1561.79917;5804218
1562.78285;5398490
1562.8301;2588306
1578.82151;331413
1580.76861;1718622
1586.75715;3200804
1605.79988;185686
1615.82033;2875371
1616.80475;1257031
1620.69816;469911
1628.72644;286665
1631.77736;254311
1637.72425;1138364
1648.77853;282657
1648.82952;1224833
1655.80154;990461
1668.90794;282217
1671.80892;285971
1694.74603;783700
1706.77411;1143752
1716.91622;1516089
1717.79004;217321
1724.81978;169450
1725.92875;171943
1726.86598;2371409
1735.80142;311700
1743.72646;603419
1750.83632;214545
1756.77922;498178
1762.90917;485938
1766.77827;263538
1766.83276;659039
1774.80043;281917
1783.80322;2546438
1784.85529;199555
1787.90549;1429911
1791.8279;506538
1799.7995;1077190
1800.87117;801666
1804.93099;14962616
1816.86599;4724920
1819.89516;557654
1822.80333;238701
1831.94305;488046
1832.86105;4382685
1838.97644;749423
1846.83393;463830
1848.85583;861483
1871.96189;624808
1888.92039;351431
1888.96437;410799
1893.92331;238944
1905.90517;489760
1915.94688;353473
1922.93347;3850629
1931.96792;492450
1933.97318;1474262
1958.96984;4103987
1975.9953;41199796
1986.04329;1540784
1990.91757;600560
1993.02735;247875
1998.02835;5407969
2011.03672;3577450
2014.95655;572543
2015.94272;360889
2019.97428;238819
2028.06506;33574164
2039.9545;1679261
2040.93964;758218
2044.05801;10996717
2054.02228;515460
2055.97838;863738
2056.97936;11970126
2057.96433;6381413
2061.96003;491163
2073.01497;1396921
2073.99986;768192
2089.00726;1315922
2089.99077;679948
2098.01161;294971
2105.00067;224750
2131.1168;9635848
2146.94155;247971
2198.97303;1024792
2207.14681;540460
2252.00395;367901
2256.05204;1252554
2264.16684;437454
2266.0572;491325
2298.0779;414229
2335.20439;380866
2348.08652;762859
2364.08586;1167025
2390.18174;585041
2410.13997;1256122
2413.12827;461519
2419.14884;508604
2422.07284;451644
2429.18804;169392
2476.24365;403928
2485.23031;2695502
2497.20648;2026207
2513.20505;1430537
2532.19224;574210
2550.21597;3671550
2563.21106;473215
2566.20602;1517168
2578.17347;608319
2582.22092;3220907
2606.3201;247508
2648.24083;266380
2651.25004;666175
2660.26484;351974
2675.24533;714538
2689.26012;4425436
2705.25308;38816768
2711.31015;597688
2712.24501;225834
2719.23334;2040519
2727.31005;887767
2742.25512;1349512
2743.28982;2311737
2750.29189;1668215
2759.28584;4142765
2767.32031;15960047
2775.27952;1103280
2785.35795;1151267
2792.32824;7148126
2794.39951;1275497
2814.33011;493449
2839.39671;478701
2866.42014;400247
2883.42452;16415657
2889.35032;642756
2899.42255;1563516
2905.41321;236126
2912.43508;287814
2984.43706;256600
2988.30328;495015
2989.46462;375575
3001.36673;840462
3009.40503;896006
3010.38293;534209
3017.36327;5111147
3018.34079;3610589
3033.48709;15906399
3036.40647;578322
3052.4027;1816562
3071.39346;1997452
3072.37174;1009529
3084.41462;9316580
3087.38395;1379596
3100.41223;27238632
3116.41029;5853717
3183.4783;987247
3227.5229;1164925
3381.70244;757181
3413.59903;627184
3428.59259;393878
3502.58382;277200
3516.45773;195921
3518.70187;706625
3534.69022;1110019
3651.55272;1425612
3707.66665;666971
3722.59263;2059398
3834.80725;403225
3850.80045;585631
4018.85851;333710
4036.89459;1728238
4053.92559;1159264
4069.91674;1876028
4085.91088;1139395
4096.94537;1695227
4112.94059;3451905
4128.93505;866981
4136.97643;485636
4152.97184;440251
4153.08737;1327593
4186.07315;370554
4202.06591;771535
4348.11235;2793238
4364.10553;5436360
4517.1681;2035746
4533.16538;705100
