m/z;I
898.47496;648970
942.44653;327260
1010.50195;223230
1032.54783;215268
1105.57561;1546902
1105.62308;274537
1162.62215;331707
1163.59221;486967
1167.57637;1009955
1181.6279;147380
1183.57094;827843
1224.53225;440327
1228.56417;130848
1241.55887;923304
1241.66073;838299
1251.65187;238710
1308.67392;423064
1316.67155;155017
1323.66626;408048
1379.71022;225470
1392.65166;277951
1453.74436;7660596
1459.69356;1022050
1473.67363;485263
1550.75689;401486
1562.7829;2703746
1562.83019;567416
1589.77818;255576
1615.81951;496009
1616.8049;185224
1620.69601;237174
1637.72467;460642
1660.76721;286928
1678.75068;218497
1706.77343;236217
1766.8328;268387
1795.91118;1546780
1804.89468;3501792
1816.866;1751234
1832.86115;1679327
1848.8551;334958
1887.91691;161245
1892.92238;1001994
1918.95754;310501
1944.95397;848296
1961.98076;8250473
1971.96429;163324
1986.04337;321106
1996.96142;423298
2013.9853;4197327
2028.06504;9617248
2044.05802;5277120
2056.97744;2292607
2057.96375;1493775
2105.00142;576521
2118.09814;253794
2131.11605;2647287
2165.04926;156264
2188.02857;1585268
2198.97003;756218
2282.071;617213
2322.09466;210013
2403.15261;319599
2410.13638;783927
2455.22453;765433
2467.19779;387710
2483.18937;808633
2499.18591;512265
2559.20119;294954
2566.22976;1019064
2576.22707;1487405
2673.26498;593908
2689.26031;3557230
2705.25386;8322885
2707.2353;1211299
2719.23294;1258583
2747.27105;520260
2750.29474;317770
2767.32088;4498427
2820.35395;3490504
2867.42826;353033
2883.42518;3428393
2899.42339;749224
2917.2942;406745
2959.35927;377444
2987.39173;3500982
2988.36927;2191930
3009.40207;663817
3017.49637;565071
3033.48796;3689328
3068.41882;791598
3084.41434;7584942
3100.41297;11531336
3116.41057;1311392
3153.4685;635463
3225.53767;339537
3681.55782;1036358
3752.59548;1308583
4021.88254;559532
4112.93281;883492
4274.01867;433815
4290.01131;949263
4305.99567;397533
4376.10955;763851
4392.10555;1320174
4509.12868;337958
