m/z,I
944.53198,621505
989.57816,243128
1031.50631,400856
1032.59530,324275
1060.51831,179827
1077.58468,801201
1079.52366,322922
1086.53353,183218
1097.50536,304023
1105.57562,2244090
1120.59011,223433
1125.58479,21488324
1135.63774,332876
1147.56682,237003
1162.62193,287683
1163.59192,405784
1172.54922,716834
1180.64397,529092
1181.67941,302831
1183.55726,713026
1192.57112,316806
1196.56655,330489
1196.63871,476357
1198.70628,7567120
1200.61280,675326
1240.67673,2061011
1241.54497,216319
1259.65385,6498571
1274.72657,8650819
1275.64462,544817
1296.74262,326962
1306.71618,240929
1309.68103,475180
1314.66541,610004
1342.71242,730021
1348.76037,413867
1361.66061,717099
1379.61934,307180
1386.77500,498035
1407.65530,504869
1422.70998,741968
1430.79144,322980
1453.74448,2877408
1459.69395,2029566
1482.73758,690835
1515.75104,3578408
1529.80721,268155
1530.70772,311114
1535.76181,220795
1536.83876,245213
1550.81618,459730
1553.86572,951322
1561.79878,2196194
1562.78236,867930
1562.83008,943308
1577.89074,412617
1585.77242,1287889
1586.75711,1545524
1615.82072,871045
1615.88232,1126841
1623.84231,376242
1662.87052,231908
1674.81235,208521
1695.89443,252492
1719.84236,292695
1725.00753,531203
1726.86601,680628
1727.89353,629788
1728.94012,794542
1733.99161,355349
1736.88751,634758
1743.82191,2966405
1752.88291,321372
1757.90726,574487
1763.80388,1708596
1768.99761,271849
1772.86501,279258
1775.81014,560978
1778.88300,363000
1786.88236,263132
1790.89354,8895746
1795.91097,7358150
1802.90910,381801
1803.91073,2768631
1804.89458,2287434
1804.94435,576785
1821.91865,466191
1842.92589,1439544
1847.94508,1056238
1864.91605,1825434
1875.94369,1665080
1876.89961,509259
1883.99543,347277
1887.99515,1007516
1892.92208,1118142
1896.97143,653538
1906.99093,344898
1910.04793,589479
1912.88087,543470
1912.96840,390953
1915.06708,255393
1934.14126,424839
1944.95363,853510
1961.98068,17586518
1962.92794,1298547
1963.87962,653629
1985.86841,438283
1995.97540,615105
1999.09719,1843019
2010.05186,255340
2013.00126,9318417
2028.06530,6658900
2044.05810,6093616
2056.97924,18556606
2060.04583,546904
2065.96675,1542839
2081.96193,978828
2089.00673,883417
2105.00164,4173313
2105.10390,1863409
2108.04886,1712894
2117.01508,534621
2118.14071,341726
2120.99953,1763835
2123.09479,1290796
2131.11731,6550699
2138.01848,198359
2139.08738,1101952
2150.03816,398077
2163.08225,644858
2177.09819,773476
2183.12872,723178
2188.02892,5802855
2190.09890,306419
2198.97352,3810928
2214.97002,2212710
2215.07216,3354324
2222.15815,304724
2227.21861,400218
2231.06835,1733865
2232.15393,1245366
2246.02512,3347169
2246.13743,1359433
2250.11342,598721
2262.01761,922492
2266.05951,827110
2289.15156,1162414
2294.13091,843409
2313.18927,300793
2322.12114,1701079
2323.23918,501003
2327.21847,1030358
2331.15982,1081622
2346.15495,557642
2353.11241,821550
2361.27244,2005817
2364.08435,394664
2365.12075,422197
2369.21484,1344162
2383.13289,1640276
2388.16904,6746094
2394.24095,443102
2403.18445,911321
2405.27750,443041
2420.19811,343416
2438.18308,653095
2444.09000,340389
2444.13446,760132
2455.22661,1941923
2460.12552,941896
2461.15366,4119919
2463.10042,628474
2463.24968,1315005
2467.19813,863870
2471.22148,1059784
2477.14999,4849275
2479.13889,1837518
2483.19039,3373708
2499.18615,3200969
2528.23043,496916
2532.17724,2344261
2534.15702,602732
2547.23752,817771
2548.17213,2009711
2550.15007,525260
2561.17171,1075275
2572.22937,1186651
2576.22631,3389254
2592.22090,2740083
2610.29207,926108
2611.18007,353805
2632.24396,1342522
2644.35541,369794
2651.25249,5984112
2667.24677,2229369
2672.34353,1381122
2689.25939,3632020
2705.25193,23528748
2719.23374,12176921
2727.24115,535644
2742.43077,467492
2756.45024,588262
2759.27516,478897
2766.32625,18853960
2773.35083,1642368
2785.30238,8000012
2801.29401,3624229
2809.49698,362102
2820.35393,16400388
2839.39622,286332
2842.33394,345648
2867.42686,885515
2873.41877,272408
2883.42352,22482816
2899.42395,2735188
2909.44834,376875
2917.30865,1693772
2946.53715,323419
2969.58528,566200
2987.38830,18625340
2987.58405,2147579
3009.39975,1175310
3036.40586,428811
3052.39875,911084
3084.41277,6511851
3100.41070,18818108
3116.40946,7444387
3123.40049,346034
3153.46663,14238943
3169.46053,15535858
3181.50548,890324
3183.61968,1938834
3185.45506,952465
3196.61421,1258126
3197.49881,1318347
3210.63098,1735437
3225.54100,1566765
3226.62469,2368214
3241.53073,3520384
3257.52147,516045
3327.64227,5152514
3343.63879,650266
3363.64712,678319
3387.60347,1341770
3392.72815,882737
3408.72443,2495324
3420.72081,492719
3454.71301,432095
3484.67894,322162
3501.59740,394932
3501.67692,982676
3517.59470,1195415
3517.67156,1280659
3533.66205,620637
3549.65377,1482628
3573.69914,804580
3581.69993,590451
3584.62639,435616
3597.68970,3007548
3613.68227,3088125
3644.79688,1744654
3650.76522,336593
3660.79052,906693
3681.56692,1210401
3706.73621,7362366
3752.60809,3292155
3771.75765,520536
3794.66292,487126
3803.77478,554903
3819.76792,2563917
3835.76976,3094282
3853.78953,356278
3866.79085,840115
3882.78347,2521035
3898.78002,1459262
3910.88301,441951
3918.00337,885735
3926.87897,798312
3951.97883,412161
4002.89042,520614
4019.91661,3252796
4030.00986,524944
4274.02384,431306
4290.01906,1523435
4306.01232,958490
4391.12176,664863
4493.13714,468740
4521.06004,701142
4537.05475,377973
4835.26903,593316
