m/z;I
698.31041;157950
892.4643;555824
898.47517;384931
898.5114;460092
978.91994;149486
1048.55394;155680
1079.52407;270138
1105.57608;2276329
1121.58258;1062284
1121.61854;272256
1125.52959;551454
1160.60723;352484
1162.6229;539355
1163.59257;814439
1167.57607;722393
1176.61285;175188
1183.57142;592631
1193.51964;174855
1196.63933;318638
1241.55907;570450
1241.66095;446288
1250.57574;167547
1259.68693;186389
1264.62933;203358
1323.6666;386403
1370.60216;190267
1392.65177;353488
1420.64542;185378
1437.67336;347000
1453.74518;8075219
1459.69488;904990
1469.73827;239103
1473.67393;501442
1511.74558;325072
1550.75847;619362
1562.78383;1909437
1562.83078;734440
1615.82288;785360
1637.72508;297677
1648.77945;287570
1668.90974;173632
1706.77475;509813
1726.86719;387930
1762.87323;265257
1783.80375;682804
1786.88504;646171
1787.86916;665555
1791.82866;249493
1795.91217;239718
1803.9115;2549082
1804.89575;4309050
1816.86702;1093899
1832.86299;1286349
1838.97631;382637
1887.96006;160792
1892.92379;1001692
1919.96087;402198
1944.95577;1196286
1961.98215;8135565
1986.0446;348365
2002.03743;414115
2011.03813;971057
2013.00069;1014881
2028.06651;5779905
2044.05909;6165851
2056.98066;5807165
2089.00483;422633
2105.00303;812271
2120.99976;237585
2131.1185;3404527
2188.03088;2784977
2198.97257;441937
2348.08652;397083
2419.1498;262824
2455.22728;1145215
2471.219;345654
2483.19154;883234
2566.23373;1341330
2576.22515;458803
2689.26148;5312768
2702.23678;2784845
2705.25504;10172026
2719.23653;1452297
2726.23564;376084
2767.32353;5375379
2785.30334;1449195
2801.29672;643948
2820.35427;4416499
2867.42825;653728
2883.42606;5003159
2899.42184;478944
2918.30003;442824
2987.39389;3788953
2988.36912;1702935
3009.40209;444284
3017.49063;412651
3033.48693;5241357
3036.40773;811846
3052.40575;834310
3068.42148;434211
3084.41612;4251979
3085.38767;1214850
3100.41537;6879856
3101.38887;1627290
3116.4137;2326105
3153.47224;540297
3241.53842;802946
3681.5605;731148
3752.59958;831326
4096.94907;1073396
4112.94574;888713
4140.07598;260180
4290.02913;485647
4391.1169;894338
4493.13239;389274
4509.13531;234307
