m/z,I
700.2918,406161
758.36642,297097
837.40629,1009697
842.49437,988388
853.40073,865826
859.3876,190818
868.44727,734976
899.47692,1101446
1033.4928,181628
1045.54001,812433
1092.47652,161712
1095.5392,2183225
1105.54832,4993136
1106.5323,5037940
1115.51661,610363
1116.46432,1135556
1127.52933,689144
1128.51293,672470
1138.44576,206370
1154.55136,962261
1179.57022,137098
1183.57586,670712
1198.58618,234655
1199.57047,1113796
1205.55742,143864
1232.56457,143616
1239.61054,2687767
1249.49536,304677
1258.55677,119797
1261.59113,364115
1297.57656,334684
1307.58591,519028
1328.60983,297109
1329.5666,354840
1350.5897,235110
1453.69769,1806681
1459.64666,6281821
1465.64514,6196463
1473.6248,1717001
1481.62633,880500
1503.6067,216178
1550.70369,4893506
1561.74399,1228828
1562.72818,2283218
1562.77586,2380708
1566.69741,153860
1586.70078,5185510
1594.66411,175318
1600.75183,165379
1604.78282,639001
1608.68112,881181
1615.76259,409895
1616.74662,1181497
1630.66172,177267
1655.73959,4289004
1677.71988,690379
1690.71578,278767
1691.69988,858558
1700.67289,349624
1729.67299,210230
1744.64294,938656
1755.74,933767
1764.79492,1596232
1766.76277,824362
1768.83026,1050597
1771.73531,1601929
1784.82235,2949699
1790.80954,251675
1793.71551,287338
1800.81735,2913252
1817.83105,895834
1841.82842,1533213
1863.80842,1685105
1879.77376,411793
1892.84311,454137
1941.81275,321070
1957.80774,498617
1975.90881,6440759
1991.90415,272751
2003.88988,842096
2013.95716,981294
2019.88385,2342471
2029.95314,642448
2035.93815,240528
2041.87636,732906
2057.86972,10736719
2079.85255,1854514
2089.8935,2133287
2090.87842,2285245
2095.81227,395264
2105.88631,4256412
2112.85819,514097
2115.86181,286062
2122.86727,1250326
2128.85305,1034654
2145.02734,6577262
2150.82998,271154
2167.00995,1545932
2172.81199,211057
2172.8805,235065
2178.81681,386344
2187.92226,1724338
2203.91266,10481052
2209.90139,276459
2210.99576,394089
2216.82885,805704
2219.90891,643990
2225.89621,2323315
2241.85764,339350
2255.94002,781440
2301.01241,529872
2338.01033,469832
2359.99264,415859
2383.82728,386362
2455.08997,1733650
2471.08096,680781
2477.06619,227540
2481.07365,664006
2497.0665,1302298
2503.05473,152279
2513.06274,871454
2519.0506,343205
2549.04883,827611
2571.02587,635818
2571.09657,1876857
2593.07414,377134
2611.0885,215157
2690.08127,752239
2706.07395,774954
2720.04988,198735
2793.15894,1099341
2853.22733,276564
2869.22153,1105996
2891.20343,287529
3102.1628,818713
3118.15725,431692
3186.19509,351091
3200.28253,405183
3216.27419,306954
3228.12193,305785
