m/z,I
835.40609,809277
867.43207,174094
898.51087,606787
1048.55391,178363
1048.58973,292618
1079.52274,240139
1094.53403,280154
1096.53845,332172
1104.54352,1118600
1105.57524,4979613
1116.49127,262451
1121.61778,258983
1122.55410,304249
1136.60648,272268
1138.56056,211551
1162.62206,439163
1163.59212,843069
1167.57589,301832
1177.56773,192648
1182.61160,535931
1183.57077,342366
1192.68006,356900
1208.67473,3771933
1209.65886,1181445
1217.66406,744601
1240.67636,338447
1241.66023,1469724
1261.62903,244907
1267.67560,1043558
1281.61876,622968
1328.69645,209751
1409.71284,252229
1417.72996,544226
1427.72817,17331618
1435.68226,6464322
1443.72276,677210
1459.69301,3355946
1473.67227,2108462
1476.78092,180418
1561.79804,11477449
1562.78216,4154031
1562.82960,2630509
1580.76764,2054775
1585.77221,2155031
1590.78059,291684
1615.82016,2864277
1616.80376,929302
1648.82917,1323215
1655.80016,1129714
1706.77311,1742834
1716.91477,400040
1726.86409,280508
1743.72553,485147
1758.73424,432417
1771.93500,401269
1783.80236,733071
1787.90348,360308
1787.92893,210228
1799.79865,1010731
1804.93019,7816432
1816.86470,1781411
1832.86015,4183909
1838.97491,184622
1848.85543,2255649
1863.87193,396955
1899.99295,266895
1922.93263,4445241
1932.96973,429539
1975.99455,21806706
1997.99118,1754150
2013.95534,462551
2014.07163,378227
2019.97300,913304
2030.06775,275478
2038.08422,1253074
2039.06906,996121
2039.95436,1038222
2056.09220,21200984
2056.97831,17672130
2057.96336,7144341
2072.09004,13507872
2073.01256,3900952
2073.99804,1284934
2088.08395,511968
2089.00616,7285934
2089.99135,2373459
2105.00031,2641975
2105.98666,904690
2131.11529,18196224
2147.10783,505688
2163.10303,258308
2198.97111,3521195
2200.06157,270525
2214.96819,2231900
2216.05810,22388998
2226.99829,289645
2232.05592,1830091
2256.05011,551030
2261.12636,982477
2272.04678,494555
2291.14455,216866
2307.13723,1848191
2335.20292,180744
2348.08536,484120
2364.08268,810432
2373.10899,244086
2410.13621,1889673
2471.21504,553053
2481.21078,1012092
2487.20831,2193536
2497.20561,3342128
2513.20257,4110930
2550.21480,1771331
2566.20643,1620613
2607.29040,453129
2651.24731,1252041
2675.24591,510059
2689.25863,993113
2703.23848,21135328
2706.25606,9402792
2719.23222,9009292
2720.20792,935140
2726.25515,582197
2743.28730,1461517
2759.28559,5384600
2763.32457,1767949
2775.27912,4060523
2781.33482,16474328
2792.32611,10453786
2808.32038,478778
2853.40750,25123046
2869.40508,3125152
2880.38559,594977
2885.40053,462449
2907.33467,356536
2930.33690,636651
2946.33207,504066
3007.41650,539016
3009.39940,1334284
3017.36042,6942888
3018.33860,4432137
3033.48487,8781455
3052.40191,952933
3068.39924,463062
3084.41331,1217590
3085.38688,611255
3100.41142,10470537
3101.38768,3863243
3116.40924,6009112
3117.38523,2239851
3167.48418,865236
3183.47599,5274516
3184.45128,3472938
3199.46937,776593
3200.44571,358456
3227.51938,4981841
3228.49230,1408175
3243.51008,590175
3399.60757,798991
3400.58125,688895
3502.57574,810153
3665.56797,637989
4112.93965,1461054
4128.93229,510213
4152.08798,391728
4286.05845,313508
4302.04809,1219317
4318.04279,702196
4364.10365,1670608
4507.14868,1236710
