m/z;I
836.43824;192064
868.46468;115172
897.05453;84660
898.51137;269859
987.99966;804060
1065.563;415706
1065.5991;655228
1095.56568;396646
1099.55081;131864
1105.57577;2215736
1121.61795;137707
1151.61605;123379
1162.62227;426709
1178.55248;309665
1179.60051;106229
1182.61232;157804
1193.62963;119553
1201.58569;287392
1205.59188;139349
1207.60731;105741
1208.67529;491969
1209.65918;535006
1216.68066;112676
1241.66103;1351223
1266.62053;110185
1267.67688;886838
1267.70587;1689905
1273.70205;156916
1383.80071;305276
1384.73274;294721
1409.71919;127872
1427.72953;18163736
1432.68111;221720
1435.6837;3926461
1443.72439;446271
1447.75632;272110
1449.71232;195837
1453.74503;2284208
1459.69472;3703100
1465.69275;355868
1469.74008;123709
1473.67423;1427178
1475.75021;338444
1532.78419;267850
1533.7746;96594
1561.80097;1007693
1562.78372;1098182
1580.76869;765307
1586.75848;1750673
1616.80593;1018556
1648.83053;4893492
1655.80009;314222
1670.77602;187766
1683.8115;437919
1690.7814;199042
1698.822;829892
1706.77608;551432
1716.91664;205408
1719.84545;799282
1726.86732;849632
1759.94726;591860
1784.8584;196212
1784.89538;324120
1799.80149;459206
1800.89123;528180
1804.93288;430519
1816.86728;856704
1831.86122;160818
1832.86251;3157811
1848.85895;1785483
1851.93334;163516
1860.93312;138763
1892.92157;169092
1922.93578;2124954
1933.97466;393579
1958.97107;917266
1960.00669;248809
1975.99599;49916308
1987.96034;189601
1993.98303;500118
1997.9956;1290149
2014.04766;1852346
2019.9759;2133046
2029.98603;852632
2030.04684;862882
2039.07038;920357
2048.01808;209894
2056.09354;46467836
2072.09568;16993284
2074.00268;3412613
2078.08014;278434
2088.08505;304504
2089.99412;2524041
2105.98659;1054941
2121.00672;481977
2131.11936;47218960
2131.97794;272743
2145.13061;4472437
2146.94395;316319
2147.1129;672404
2153.09975;413443
2186.17358;1266768
2200.06306;421785
2202.16482;568833
2204.02116;710262
2211.10449;787924
2216.06183;7295284
2234.08668;1441035
2241.06042;263573
2256.05038;3068145
2265.05613;501924
2272.04947;875419
2283.06346;222210
2284.16627;694348
2307.13831;433351
2316.13495;907375
2332.12899;675586
2383.95482;168790
2395.12594;792718
2410.14243;2360354
2411.11812;1742371
2455.23055;1852149
2471.21728;3297974
2485.22505;4879637
2487.20639;3331202
2497.20682;1192996
2501.22194;724840
2508.11209;303613
2510.09091;598782
2511.06937;343501
2513.20571;692468
2548.23235;973200
2549.19388;636047
2566.21074;1540984
2573.26633;528900
2583.20309;1023296
2589.25373;875067
2596.19086;483384
2612.19442;737819
2651.25409;1480366
2689.27054;684098
2704.24824;7204357
2706.2341;6252550
2708.21445;434745
2719.24173;1000187
2720.21185;1108736
2744.27029;291246
2759.29838;862883
2767.32928;8052981
2775.29288;1000051
2781.34563;14882122
2793.33982;2711530
2837.4019;454963
2853.40853;39310944
2869.41119;5300341
2879.39596;785353
2880.36127;716612
2883.42818;14852235
2895.4312;607571
2899.43141;1725466
2938.39471;680104
2976.35691;438134
2994.39781;574309
2999.50258;429204
3000.47757;238834
3010.38223;1273609
3018.34414;4044376
3019.32071;3431553
3020.29803;892592
3033.48963;5189450
3034.46349;2599802
3038.35765;223538
3053.38229;755880
3054.35702;413679
3085.39911;801285
3093.50581;1043746
3099.41733;2199113
3100.40068;3764779
3102.37727;1078301
3105.50478;277708
3116.4262;4424644
3117.40356;7299045
3118.3799;3883510
3134.37579;448166
3135.52822;389269
3151.52461;745498
3168.45778;485737
3212.51525;419322
3227.53106;1945476
3228.50854;2633765
3242.37918;515420
3243.35053;359694
3414.61651;479616
3502.59523;640047
3518.58922;213639
3646.71111;503002
4203.0719;176449
4349.11006;291874
4365.11333;549248
4507.14611;408290
4553.12136;182135
