m/z,I
698.35785,393395
728.33234,314264
836.43785,402866
868.46405,269121
892.46396,819084
892.50026,324887
898.47475,1184025
898.51101,513528
997.47019,410031
1048.50577,256035
1048.58989,187123
1063.52810,188810
1095.56566,451958
1096.53862,1129064
1105.57531,3278215
1107.51819,229640
1121.61788,386552
1139.54423,288221
1146.56518,360392
1153.56017,1076849
1160.60623,546445
1162.62193,491838
1164.60088,322150
1167.53946,231147
1167.57586,1473986
1182.61180,539915
1183.57079,1229015
1193.62782,326607
1203.62359,186947
1208.56568,318237
1208.67493,1298872
1209.62234,240987
1241.55861,758902
1241.66032,513617
1267.67581,509535
1273.70208,323050
1282.63935,205996
1308.67322,379785
1323.66585,585841
1346.64489,293930
1346.71790,359334
1357.61367,170330
1370.66562,183485
1416.68709,317109
1417.72982,430485
1420.68258,777834
1427.72859,6551852
1435.68224,2085526
1437.67199,374372
1459.69325,1344060
1540.67038,199898
1561.79819,4195350
1580.76812,1107501
1585.77298,899384
1586.75642,1845639
1604.81452,596520
1615.82058,1390411
1620.80866,211768
1637.72328,428800
1648.82923,693807
1655.79925,468117
1668.90624,223446
1706.77343,853620
1716.91520,523565
1717.79055,221859
1750.83676,422831
1783.80264,593243
1787.90429,797002
1799.79897,448284
1800.87106,512117
1804.93080,6504191
1816.86553,1706534
1832.86060,2234232
1838.97607,495286
1848.85544,875777
1874.82802,249407
1899.99175,204378
1931.96728,237589
1975.99519,12441880
1997.00695,1534514
1997.99201,2523672
2014.07055,501498
2030.06756,216231
2039.06912,1089236
2039.95510,753183
2040.93888,313065
2056.09324,9097252
2056.97980,4980471
2057.96405,2124776
2072.09051,6764502
2073.01291,419100
2089.00610,639764
2105.00013,216213
2131.11604,5284501
2146.94309,228050
2199.99910,300700
2207.14482,309769
2216.06006,1398050
2232.05715,871530
2256.05176,255697
2264.16655,262775
2266.05979,400598
2306.10278,314909
2335.20561,296617
2344.05571,431742
2364.08488,277797
2403.15115,336964
2410.13791,718277
2460.17857,240751
2481.21091,329660
2487.20920,625194
2497.20733,844124
2513.20403,963255
2550.21447,534478
2566.20689,457776
2581.22771,1133430
2689.26078,2174537
2705.25424,10176067
2719.23606,1316646
2726.25911,605395
2727.31281,341200
2743.28828,1078075
2775.28136,898825
2781.33403,6968299
2792.32778,1737166
2814.32923,404624
2837.41709,401186
2853.41224,4100137
2869.40687,2193235
2879.38525,331238
3016.33397,380651
3017.36406,2220963
3017.49770,704906
3018.34260,1941485
3033.48904,5523676
3036.40906,554011
3052.40366,1152824
3071.39355,624010
3084.41480,4228185
3085.39149,1518107
3100.41310,8302328
3116.41010,3172326
3117.38685,1144628
3184.45377,299413
3227.52163,537292
4036.89872,481431
4096.94354,1891480
4112.93855,1604390
4186.07033,656827
4202.06533,1846387
4286.06197,804637
4302.05148,2418472
4318.04142,1163478
4348.11440,330031
4364.11142,740558
4507.15345,424125
4523.14628,886919
