m/z;I
836.43888;590831
868.46501;430158
892.50175;222392
1096.5403;224620
1105.57737;4794122
1116.49354;269539
1121.57183;277668
1127.55899;253035
1146.56823;171205
1165.5258;289971
1177.56939;299701
1182.55328;200703
1182.61348;741755
1183.5733;306162
1191.65084;295551
1192.68246;953119
1208.67752;2960292
1209.6428;162585
1241.56088;273567
1241.66198;296179
1261.63119;284434
1267.6787;954314
1281.62168;574441
1335.63195;284922
1346.7219;223657
1352.69028;660393
1392.6898;246594
1420.68556;280453
1427.73176;10949907
1435.68518;4430624
1437.67499;267703
1459.69685;3860610
1474.8419;225368
1496.75625;296494
1532.7857;1091484
1561.80097;6659521
1562.78554;3223975
1562.83321;2883864
1585.77638;2138465
1586.76057;3008399
1589.78175;215259
1599.82795;297408
1615.82335;3991477
1627.74515;392849
1648.78222;1142823
1648.83304;1312923
1658.82113;579134
1679.76659;197536
1688.88487;198347
1698.82393;704693
1706.77766;2273987
1716.91794;664038
1726.87003;2449765
1735.80123;203403
1743.72823;594229
1759.72243;453296
1768.86598;246895
1782.8222;1805538
1783.80692;2230417
1787.90772;1538220
1799.80356;2092570
1804.93498;29797090
1816.86857;5211805
1820.92952;328597
1822.83643;437253
1826.91683;338434
1832.86514;7415999
1838.98111;214458
1848.85946;3097138
1888.92248;453721
1900.88279;531376
1922.93796;6620301
1931.97247;471339
1933.97738;978191
1938.90853;223103
1945.9883;250956
1954.99031;278590
1975.99827;56931988
1977.12622;334946
1979.9836;1133989
1991.99461;1531454
1997.01269;11953609
1997.99762;5482084
2012.95823;333662
2014.0772;628281
2019.97755;1105681
2029.00276;275682
2039.0743;2105648
2039.96053;2818752
2056.09731;33903360
2056.9835;46172440
2072.09549;9608454
2073.01785;5295514
2078.0825;320608
2088.0892;253103
2089.01213;6693100
2105.00595;2016030
2110.03151;381226
2118.10024;490558
2131.12187;22717358
2146.94649;482676
2147.1124;676910
2153.10015;330479
2198.97812;4603651
2200.06813;525508
2214.97309;2455084
2216.06295;20684956
2232.06107;2852394
2256.05958;425955
2261.1342;2216946
2274.1612;286047
2304.03276;340556
2307.14485;892059
2316.05304;813518
2348.09278;1600037
2364.0899;1895217
2373.11632;469496
2410.14078;2154719
2425.15372;162855
2461.16465;391352
2471.2255;1108522
2476.25103;226504
2481.21931;2188809
2487.21704;3176862
2497.21162;6301437
2503.21644;203155
2513.20824;5339546
2540.23598;185977
2550.22181;2952853
2566.21573;2316394
2570.19999;386220
2581.24276;7847338
2582.22879;3823177
2607.29632;626102
2651.25741;2528325
2675.25782;1256326
2689.26916;6567981
2704.25329;119140448
2705.25842;9956029
2705.49283;1614086
2711.28289;835505
2719.24;20040276
2735.23663;1175597
2743.29492;3889594
2750.36905;822256
2759.29491;8841697
2763.32875;3957159
2769.35632;1086356
2775.29021;4384727
2780.36108;21462660
2781.3423;34866900
2792.33689;17669350
2803.32259;403713
2808.33215;856772
2809.39953;650799
2837.42377;684483
2849.39881;268078
2851.40741;692501
2853.41672;56419228
2853.6764;661312
2866.39856;378371
2869.41323;8193347
2880.39427;1340265
2885.41143;716321
2889.35901;491831
2930.34791;1151188
2938.3924;670568
2971.31973;617108
2987.31719;2553367
2987.33915;1838655
3001.37768;4575299
3002.35166;989034
3008.43219;1147416
3009.41309;2098389
3017.36941;19334120
3017.50245;1718427
3018.3468;3731842
3025.38688;595160
3033.49578;21207166
3036.41392;590837
3049.49071;985126
3052.40951;3248126
3055.47795;469979
3068.40216;675845
3084.42306;5274355
3099.41361;779146
3100.41864;32721298
3114.40832;512201
3116.3875;3068533
3116.41805;17097424
3122.40704;635230
3132.38182;435170
3132.41575;2237249
3138.37655;484466
3148.41262;226185
3167.49405;2949335
3183.48709;13053963
3184.45946;2518105
3199.4814;2083227
3211.54154;905407
3227.53169;8388387
3243.52394;1288369
3382.71586;865396
3399.61695;1307708
3441.62222;500394
3517.60891;742947
3531.48765;197193
3532.60204;390377
3665.58695;1405329
3736.62336;1019175
4096.95587;309595
4112.95545;676200
4302.07362;381618
