m/z;I
722.35859;501806
836.43825;436941
854.41152;213484
892.50074;374483
898.47513;760583
942.44667;305597
952.46793;399606
980.52836;190832
988.03101;369726
1010.5022;431056
1032.54796;308640
1094.48724;170897
1095.56635;587162
1105.57593;4956435
1124.40488;119537
1127.55751;274262
1136.60717;360815
1146.56606;322503
1150.54943;190749
1150.59706;477643
1153.56051;441811
1163.5929;797835
1164.60131;285038
1165.5246;449518
1166.54462;242444
1167.57645;825984
1181.55555;286839
1182.61246;719577
1183.57156;1157812
1189.57958;261323
1192.68063;794924
1193.51901;174241
1193.5557;266771
1196.56708;236291
1201.5855;185827
1208.67537;2896106
1211.64321;292963
1216.68072;153984
1224.53298;234747
1241.55939;1035368
1242.60113;385752
1250.61354;168702
1261.59283;246591
1267.6764;819792
1273.70266;309405
1281.61999;852423
1312.74805;478385
1323.66604;300516
1334.62756;184698
1339.66169;436614
1370.60078;264606
1374.7494;146764
1392.68773;364911
1409.71856;243024
1416.6874;291197
1417.73034;436710
1420.6832;258325
1427.72889;9017588
1443.79712;224892
1459.69455;2563308
1473.6739;1217027
1474.83909;421719
1483.71555;373144
1496.75436;618944
1532.78381;960137
1537.70436;264743
1561.79931;3508492
1562.78328;3510676
1562.83097;1567580
1572.67965;295585
1573.75535;142160
1580.76865;1327075
1585.77363;1138475
1586.75763;2119763
1589.77898;364931
1604.81537;478291
1615.82135;2226726
1658.81914;670034
1690.77934;963757
1694.74658;403763
1698.82157;161262
1706.7745;1629486
1716.91618;838094
1726.86617;1646867
1743.72669;498780
1750.83694;307693
1769.89411;191023
1770.79663;517010
1783.80421;1198218
1786.78986;665545
1787.90589;969483
1791.82796;480693
1804.9317;10578049
1816.86655;2214956
1822.83339;243561
1832.86197;2887073
1838.97697;433004
1848.85687;849269
1888.91968;425076
1899.99271;274320
1900.87905;230230
1922.93334;1634348
1931.9686;186800
1933.97377;749463
1975.99643;22259282
1979.98111;990800
1991.99221;199559
1997.00898;7646548
2012.95611;239039
2014.07381;807858
2014.95933;559677
2028.11513;353023
2038.08556;913287
2039.06989;2225271
2039.95648;1873392
2056.09371;22608924
2056.98031;14410507
2072.09209;3787880
2073.01452;2040995
2089.00846;2313329
2094.03189;236834
2104.99986;485767
2110.01359;347300
2131.11766;6027816
2146.94458;293577
2151.03082;273151
2189.08465;184266
2198.97311;1748030
2207.14443;323908
2214.97157;1023543
2216.06026;4669904
2226.15761;276959
2227.03396;543096
2232.05789;1628755
2244.03019;185089
2246.14074;223042
2252.00475;398158
2261.13174;845162
2264.16807;310104
2274.16049;1477484
2290.15801;1445254
2322.09575;263549
2364.08798;704567
2376.02508;232245
2410.13852;1472918
2419.14863;440059
2422.07567;594912
2471.21763;257069
2476.24641;391439
2481.21354;1035715
2487.21048;761149
2497.20759;1896649
2513.20596;1089196
2550.21639;611164
2564.21223;357982
2578.17704;2055052
2582.22207;2001295
2594.17236;1240125
2651.2491;665605
2675.24896;606035
2686.24501;692728
2689.2613;5685830
2698.23084;308800
2705.25322;45065000
2719.23456;3702962
2727.24246;545993
2735.23173;208583
2759.28951;2098137
2763.32319;1768868
2775.28307;771695
2780.35259;6921409
2781.33539;13959851
2792.32907;10460768
2814.3325;571935
2820.23319;2291721
2835.24818;438454
2850.39801;466829
2853.41014;6021372
2869.40663;2068629
2930.30781;441844
2989.47159;314095
3001.3663;3805361
3009.40088;381542
3017.3594;11437837
3017.49473;1846619
3025.37886;541656
3033.48585;18108316
3036.4051;1209026
3044.39805;491579
3052.40182;3239526
3084.41278;9703864
3100.41103;40053308
3116.40912;11055272
3123.40109;286339
3132.39963;568017
3154.33464;667060
3167.48212;1040094
3183.47557;2413388
3199.46978;291305
3211.52858;348760
3227.52103;1444588
3242.50664;256402
3382.7043;359171
3399.60748;311568
3443.61394;275504
3509.49142;386731
3517.59656;244381
3531.47216;531074
3649.57693;480898
3665.57193;7575269
3687.55812;300483
3719.49308;367640
3720.61945;530686
3736.61143;8399686
4035.91942;534567
4096.94633;4752496
4112.94194;5947607
4128.93543;821044
4153.09263;913420
4186.08365;353609
4202.07051;505317
4259.96705;478142
4286.06353;1048587
4302.05319;2161968
4332.13041;287257
4348.11541;3030776
4364.10979;4852583
4523.14912;534472
