m/z,I
852.43279,196210
868.46415,522563
898.51136,1198175
987.99938,1093441
1095.56629,1632622
1105.57550,12305623
1127.55741,464583
1161.57287,670225
1166.55577,308963
1182.61211,963596
1184.49326,273124
1189.57979,309616
1192.68057,2533102
1201.58544,1077671
1208.67520,7972947
1211.64308,576995
1226.57747,243239
1240.67674,991563
1254.53524,173834
1261.62929,826159
1262.61344,1218286
1263.59740,933879
1267.67627,2333470
1273.70221,183397
1281.61960,1283864
1296.63783,230775
1312.74811,774856
1328.64936,479095
1350.68146,761194
1379.61922,216628
1392.68682,293019
1403.72867,213605
1419.69875,1756983
1427.72879,29278248
1435.68303,13284473
1454.67579,313052
1459.69397,11463254
1473.67389,4585170
1474.83951,2481403
1481.67585,301558
1496.75363,1392303
1550.64149,399603
1556.68379,411417
1557.66863,271651
1561.79873,13315690
1562.78299,6922145
1562.83043,5483151
1568.74615,358905
1572.67927,906012
1580.76880,4167095
1585.77330,5739807
1586.75721,7647547
1599.82552,546854
1604.81540,462612
1615.82126,5638450
1627.74364,672912
1637.80171,271576
1644.72215,364786
1648.77978,2205429
1655.81552,506701
1658.81872,1314496
1671.80930,279468
1690.77939,1968192
1698.82150,390861
1701.73160,171152
1706.77396,4021758
1716.91619,783926
1726.86630,4095832
1743.72701,1304423
1762.90911,252034
1768.86299,282092
1782.81946,1544201
1783.80385,1962308
1787.90472,771348
1798.81601,2367228
1799.80036,2603468
1804.93110,23894924
1812.88830,677724
1816.86656,3514231
1818.78025,519770
1832.86134,7872573
1848.85687,4036892
1854.84500,395911
1863.87227,1234991
1885.85636,325288
1888.92038,1497261
1899.99263,237692
1900.87937,540312
1905.90588,451066
1922.93403,12272058
1931.96811,312336
1933.97270,727563
1975.99499,94772488
1997.00908,10766391
1997.98006,2373366
2014.07289,635028
2014.95908,1042105
2019.97516,2262171
2028.99961,1323799
2039.07016,1797934
2039.95554,3454334
2056.09260,56025380
2056.97871,117542032
2065.96799,896173
2072.09193,17695890
2073.01468,14290011
2078.07974,1550525
2078.96395,3265068
2089.00768,18316392
2094.03206,3728832
2105.00180,3831158
2110.02664,656498
2110.89989,765622
2110.99000,1013042
2114.09984,356508
2131.11694,43577168
2133.98590,429816
2135.03769,283554
2146.94164,510793
2147.10906,525202
2150.96858,687274
2151.03087,1471446
2198.97294,14639847
2200.06244,1102819
2214.97024,12967690
2216.05972,41429552
2220.95792,662393
2227.03457,486537
2232.05758,8381832
2236.95446,498649
2238.04348,1482942
2242.06661,481663
2261.13082,7960987
2271.01978,371203
2272.04868,278321
2274.16170,720694
2283.11535,3015458
2290.15297,1878462
2300.05784,1008393
2304.03109,361477
2307.14006,4900894
2313.12646,466444
2316.04978,2692953
2323.13291,1029766
2329.11829,1818522
2338.03219,541827
2345.11449,556352
2348.08829,3388780
2364.08625,4015531
2410.13935,4230085
2424.09539,616553
2461.15629,1464337
2471.21838,2408604
2481.21196,5656482
2487.20975,7800838
2496.20441,475635
2497.20650,15248546
2501.16583,946849
2509.09422,1184059
2513.20475,10910194
2519.19251,829058
2534.18622,751034
2547.18413,461233
2549.21426,5513707
2566.20900,5393194
2570.19002,1392130
2578.17583,2393239
2581.23498,10332388
2586.18152,565806
2594.17033,2568232
2607.29295,1574788
2610.16909,1035307
2611.24279,336197
2651.25111,4832215
2659.25534,680448
2666.24451,1936856
2683.30869,851223
2689.25926,8532306
2704.24487,143256816
2705.25005,8662758
2719.23350,21347772
2727.23986,4587351
2741.21993,1106342
2742.26107,4217341
2743.29004,4635011
2749.22396,587711
2753.35432,703086
2759.28750,13944178
2763.32289,3563066
2769.35138,3362717
2775.28273,9074296
2781.33835,47326556
2792.32852,28755536
2803.31540,1608341
2808.32105,505294
2809.39092,436515
2814.30740,1210748
2820.23427,562046
2837.41630,1117791
2853.40894,55753552
2864.38584,482970
2869.40655,11810240
2876.39564,1797487
2880.38865,1224634
2914.34532,1168278
2930.34159,2776495
2939.40311,444783
2946.33680,1689871
2987.33001,3072055
2988.30754,4476086
3001.36600,6233982
3008.42307,1696651
3009.40100,2906785
3017.35842,33737836
3033.48638,20170024
3036.40330,874857
3039.34172,2057069
3052.40125,2937846
3055.47154,1244386
3068.39626,754807
3074.38439,264604
3084.41511,7771926
3100.41182,53288032
3107.40264,332287
3116.41071,32887764
3123.40240,2146884
3132.40775,1772461
3138.39556,1874039
3143.37801,293062
3165.47473,504390
3167.48396,10085925
3170.32959,246716
3183.47510,32043526
3199.46918,3549057
3205.45589,1306532
3211.52850,2168783
3227.51973,12547681
3243.51228,2836775
3249.49808,596690
3383.60828,392516
3399.60742,3036891
3442.61516,329449
3500.60091,383672
3509.49461,518410
3517.59636,1893579
3531.47342,636211
3533.58679,642855
3561.65241,336168
3665.57280,2250830
3687.55518,280739
3722.61882,321259
3736.61240,3317973
3856.76595,594114
3872.76189,348264
4035.91440,518172
4096.94820,1058278
4112.94389,1737817
4128.93516,351825
4152.09283,414189
4286.06576,829870
4302.05578,1953245
4318.04642,681073
4348.12135,1012127
4364.11473,2037258
