m/z,I
702.32081,387404
704.26715,991331
709.26224,979122
712.37918,5211442
716.37399,392778
719.42121,4679457
747.27299,341306
759.34241,1084765
776.44232,404305
800.40605,189631
806.31453,507357
807.40074,613348
810.39011,383868
810.41146,300752
824.37309,657593
846.48413,1277862
851.43822,2045481
910.33727,600376
920.39406,337671
924.35274,567084
933.38312,446642
942.43610,257834
942.53797,660170
951.47961,584233
962.41612,805745
963.52715,1615573
968.49587,4945352
973.49604,930556
979.48574,726022
1008.50068,344663
1011.45450,4575160
1014.45738,695622
1015.44930,376642
1016.50203,1315571
1020.54841,178990
1027.44916,963001
1029.59516,382835
1030.45229,386996
1030.55453,420007
1032.54830,253248
1035.52307,628691
1036.53358,2724202
1038.48659,8329682
1040.57505,337350
1043.44455,293254
1043.47404,290000
1043.50719,301312
1047.48678,2238414
1049.57882,309270
1050.55941,3778794
1066.60584,30766316
1071.60581,295146
1073.40107,284593
1074.50182,3625773
1080.45401,323696
1082.60074,10022996
1083.45809,728323
1087.41606,446198
1088.57123,1122286
1092.50132,243040
1096.63744,732564
1099.58719,430695
1102.49681,335160
1104.56944,207787
1105.47134,414844
1107.58093,1051296
1108.45328,1181900
1109.52747,110422848
1110.62804,6582219
1111.61221,1921167
1113.52294,6285202
1119.58117,259774
1120.44946,370707
1122.52221,246924
1122.58042,722025
1125.48025,4626596
1125.52312,11052071
1130.42232,202750
1135.58711,4305522
1136.59630,1597736
1137.47593,847671
1140.63896,613408
1141.51776,3888291
1144.54694,221922
1152.59142,326629
1153.53270,8899764
1157.51240,623537
1157.62893,2907339
1157.66523,510124
1158.55567,471043
1161.61309,3210405
1164.60312,247620
1164.62593,589344
1165.47516,458874
1167.64993,1984783
1169.52654,4423984
1169.55004,9890795
1170.45383,1754284
1173.54564,570010
1175.51298,193203
1181.66548,6630420
1184.46958,2118144
1185.52231,1753222
1185.54624,287855
1187.44390,850045
1187.53795,436761
1193.62909,375934
1194.50146,376842
1196.48058,539984
1196.53929,252497
1197.50132,1129610
1198.54657,399549
1198.60848,179304
1201.45966,744136
1201.55359,645110
1204.57671,812814
1209.65988,217349
1212.56685,729362
1215.63460,1543561
1220.62906,530411
1225.49602,452690
1227.64585,198831
1228.56115,201867
1231.64485,6510706
1237.56172,2641856
1237.65556,4936390
1240.59389,1695810
1241.55659,389662
1245.64541,5525577
1250.68690,293512
1253.55720,618139
1254.58806,21464364
1255.56435,576109
1257.48617,813017
1258.58346,2799446
1263.69649,3548666
1265.62975,401610
1270.58317,4319121
1271.50211,889417
1276.47404,786787
1276.63002,579398
1277.71120,327471
1278.68186,261983
1286.57802,1791690
1293.64564,1342607
1293.65648,552295
1300.53980,499307
1302.57344,328082
1304.51275,532847
1308.66075,657472
1308.69371,2646903
1311.63073,256782
1316.46900,192692
1327.62596,778564
1328.53877,265059
1328.71943,943913
1329.71470,275275
1332.66019,600016
1333.49546,592839
1333.68834,533334
1342.74614,1026349
1348.49563,441736
1350.59118,319519
1350.64244,224347
1354.71049,2800576
1355.67355,2783507
1363.60956,486625
1364.62244,443553
1366.74685,1230856
1371.73666,6626610
1372.70926,726506
1373.63944,264780
1379.60465,948446
1379.69435,349775
1379.73093,1754018
1383.77277,2306828
1388.69461,231217
1390.69826,709641
1391.79104,235522
1394.58174,782496
1399.76817,5524629
1400.63005,275438
1404.68907,1422055
1405.73461,5267724
1407.63061,1410847
1408.59644,437824
1412.75212,556318
1413.75131,722699
1415.66082,14433058
1418.74506,618114
1419.79825,2617222
1420.69457,4634164
1429.62608,606239
1429.77829,1728670
1432.72084,5029870
1435.68424,689152
1440.58687,328113
1445.58194,1406526
1449.74712,42290220
1454.69770,1397117
1456.70550,2057218
1457.65161,1214603
1459.71712,3102524
1461.57749,1520708
1464.79480,1996937
1470.69206,786001
1473.73273,5339613
1475.59309,1714809
1478.70040,1564522
1478.81351,366473
1487.75250,5757259
1491.72109,308587
1498.82500,1233569
1500.71832,2661619
1503.63490,462785
1504.77876,30845380
1508.54430,888631
1512.84119,514586
1518.80447,319018
1520.77296,384376
1522.56009,656950
1527.61237,721925
1550.69775,8040251
1553.58050,556895
1555.68312,585041
1558.62941,220499
1562.78434,354265
1562.83189,442877
1565.57779,291634
1566.69255,260247
1583.86908,261100
1593.61000,384663
1594.78987,3899075
1596.68998,2915038
1603.83611,1115279
1625.85192,3183208
1626.70272,717030
1626.88352,1156867
1642.69874,8117001
1643.84823,343681
1648.65089,692927
1658.69406,283686
1660.76735,2275195
1661.63559,798181
1664.64549,5424925
1674.81616,278961
1676.76318,9292496
1678.66203,8029364
1694.65708,254351
1711.87575,586527
1712.86007,586403
1713.78275,1047046
1714.73158,177394
1714.88700,1058948
1715.87102,1400117
1725.95352,1110491
1729.88642,1719675
1755.80998,252366
1762.72113,395898
1763.89974,223199
1766.79052,412598
1773.66812,292264
1778.71517,482084
1784.80901,1027700
1785.75286,249188
1790.89774,372420
1802.75099,243960
1804.93418,2904511
1808.92787,1155537
1809.05091,1334508
1816.86898,399050
1818.95731,683434
1822.93889,7001754
1829.80901,462677
1830.68930,462300
1834.97990,26289296
1844.90089,254986
1851.90698,321141
1865.04146,570861
1867.72550,1893563
1868.93095,13594904
1884.92964,6603063
1890.97566,747938
1895.75853,938922
1918.82400,1052778
1919.93781,1045616
1925.04992,2543137
1933.70355,918981
1934.81600,1224403
1937.01614,606104
1949.70160,7203153
1950.81416,406054
1957.08137,714731
1957.97161,926603
1960.88322,789624
1962.01332,2018720
1979.03932,11743468
1980.02490,1723813
2001.84331,1274397
2006.99600,563488
2009.93066,693215
2013.09054,1616780
2022.84798,331355
2030.05327,733803
2030.95982,533915
2031.01972,866526
2034.00397,665572
2038.13485,2475854
2038.97374,358862
2040.11426,1551709
2047.07634,1728012
2051.09532,2896865
2055.99766,25271746
2058.91160,524438
2060.02769,1716250
2067.82309,860283
2072.98311,7719200
2074.99881,1399517
2075.07284,1349911
2078.05325,1409561
2085.81248,586607
2088.04097,1375481
2089.02557,1466070
2090.98934,1038496
2101.98531,1079484
2106.05145,7921650
2109.92008,440552
2113.05837,10316968
2117.07763,1492261
2117.98484,1786311
2133.07059,36642008
2134.95667,2152441
2135.93916,594526
2137.79610,972980
2142.08556,543100
2146.09187,1443832
2148.96909,2398766
2149.79445,3542869
2163.09973,11083960
2166.19554,10381869
2169.11416,398601
2178.83709,1090494
2189.98654,1250723
2194.18835,1287230
2202.05272,2273259
2202.10884,509879
2205.97857,631309
2207.92909,1047626
2211.92448,479990
2216.15311,340408
2219.13692,2867897
2220.12222,1529843
2223.92773,2045463
2225.99308,1858687
2231.17587,1676809
2238.15490,341290
2240.16026,1295413
2241.98650,1114411
2247.15764,500941
2253.93409,294298
2265.05928,2782844
2265.15046,4142847
2282.09005,4667201
2282.18052,27405396
2287.04197,363622
2289.90626,7002159
2291.19727,3000932
2293.90058,1788913
2297.00246,658328
2302.03267,386257
2305.89978,8983467
2307.19017,10809923
2309.07096,4481250
2312.21702,185853
2314.14073,3852228
2317.18804,1818373
2319.91245,1024911
2320.06030,641204
2321.89014,2013562
2329.05784,2175122
2335.08826,2790963
2335.90768,1261862
2346.08684,9832316
2353.05212,2953471
2362.08597,6684329
2386.24357,497986
2392.14722,700338
2398.91773,1954165
2404.21628,719428
2406.30250,360501
2421.26674,646295
2429.23947,547438
2446.26765,5846507
2463.29193,13449958
2466.22878,336806
2471.29517,1422919
2479.28310,314343
2481.10779,1152641
2481.23326,1637090
2485.30806,2654457
2497.20991,1023755
2513.20895,399058
2519.30150,487550
2535.29898,7109029
2550.26073,2013098
2551.29250,2143815
2553.21313,717634
2556.37745,418684
2559.27052,741526
2560.10022,374845
2567.28284,34741404
2576.29164,11728599
2583.27438,308120
2588.26179,275207
2591.26758,704489
2623.26094,502282
2624.17572,440842
2630.01754,275410
2630.21551,870792
2638.32585,343956
2646.21031,2876157
2646.30224,454461
2673.27486,295104
2689.26503,1333961
2695.06541,1543832
2703.24349,4031000
2706.25891,620797
2719.24095,807296
2732.39584,309072
2761.05385,642444
2777.04834,6337577
2798.18591,263412
2802.31018,892829
2830.95460,285158
2859.21716,468481
2883.43082,2254693
3024.47099,248335
3033.39406,311996
3050.39323,599072
3084.42144,523170
3100.41975,1838517
3116.41951,1198855
3131.48951,611402
3134.42462,427778
3135.55796,966193
3157.42717,632454
3185.52760,948874
3199.55018,1731156
3215.54735,298662
3227.50547,1162278
3243.49296,1312297
3251.63419,1084412
3277.62732,2794544
3294.65598,12177303
3398.45214,348204
3439.87810,977038
3466.87449,526627
3483.90577,30892818
3499.89948,984946
3535.73047,1253133
3662.62455,419322
