m/z;I
836.43842;635244
837.42241;167278
841.45389;191246
854.41257;174185
855.39611;283487
868.46464;463408
892.50057;230899
898.5115;157272
900.41777;204390
957.43903;188855
997.47021;234299
1010.50223;245644
1027.48178;328553
1064.51234;154573
1067.51283;168578
1095.56641;1051778
1096.53893;748522
1105.57585;2669271
1106.55994;1374103
1110.51925;126063
1115.5444;218513
1116.49266;363270
1121.61839;315575
1136.60668;147360
1139.54468;245210
1153.56087;564247
1162.62332;333050
1166.55594;443704
1167.57613;341606
1178.5521;251517
1182.61246;323353
1183.57152;790386
1192.63266;150736
1193.51966;326651
1193.55484;343577
1193.6646;169262
1197.55081;312011
1200.6134;188482
1202.56933;187204
1208.56614;315115
1208.67557;1180248
1209.65982;1225170
1223.60069;281408
1227.56139;310339
1241.66136;1642071
1250.57828;166153
1261.62892;309763
1264.62957;267630
1267.67664;1216106
1273.70275;152346
1281.61999;1058122
1295.64291;211985
1324.66965;184929
1335.63123;821266
1339.66145;352233
1343.67178;417095
1374.74989;155680
1379.61961;413420
1392.68676;178063
1409.71539;147807
1416.68815;540650
1417.73108;555063
1420.68325;554701
1427.72951;10936911
1432.68345;945593
1435.68351;3769473
1438.65684;230960
1443.72408;305704
1448.67889;262767
1459.69464;3442871
1473.67406;1855814
1483.71546;489239
1516.73433;220371
1525.68819;113589
1532.78395;485404
1537.70427;260483
1551.80055;360052
1561.79915;3106803
1562.83116;1380705
1580.76956;1394337
1586.75876;4422725
1589.77954;614859
1606.78419;283877
1608.74099;451536
1616.80545;1946700
1646.74088;224404
1648.83049;1436631
1653.71963;142421
1655.80182;943719
1660.76923;202847
1665.76273;210031
1680.74821;261093
1687.77757;174524
1688.88368;268782
1706.77258;906655
1716.91543;521029
1717.83308;608779
1726.86759;282598
1759.71602;533689
1768.86411;299680
1769.89792;159220
1784.85718;615550
1787.90674;487932
1799.80047;1260396
1804.93157;8006503
1813.87048;214840
1819.89517;186143
1832.86146;3044082
1848.85678;3399434
1860.93425;238918
1863.86939;230399
1880.90987;153868
1888.96542;140594
1899.99457;383827
1905.90604;204632
1915.98921;216077
1922.93359;3434748
1931.96817;277437
1933.97305;746821
1956.91747;181991
1958.97011;1685054
1975.99559;26840228
1980.96487;181118
1991.99173;304908
1997.99272;2979846
2003.91567;183136
2005.97138;550426
2014.07257;871146
2019.97434;621717
2020.94313;579348
2029.98327;1112022
2030.06947;438781
2039.06882;1688154
2039.94226;796437
2048.9416;140391
2056.09354;28391210
2057.96366;10591358
2062.996;188256
2072.0908;17764580
2073.99597;1249623
2088.08403;298307
2089.98985;2247023
2099.99359;281304
2105.98291;683284
2118.09932;164373
2121.00281;806787
2131.11635;18316240
2146.9434;660329
2147.04637;240257
2147.1102;239029
2151.03282;290108
2153.09646;274597
2154.90348;350651
2214.04584;331974
2215.95448;1278275
2216.05902;7872559
2227.00391;757236
2232.05846;2213995
2242.06373;181131
2256.05121;1590134
2257.00754;482094
2265.05421;1035810
2272.04728;1009490
2298.08179;330193
2304.01109;556700
2307.14179;1602273
2308.11777;880800
2322.07416;641113
2336.21035;779469
2342.15331;284645
2348.15887;388851
2358.10072;311809
2364.08351;587313
2373.1572;240480
2378.09497;528877
2385.1132;393617
2390.18167;3235521
2398.24687;210986
2410.14207;1449444
2411.11781;1891689
2425.15004;262945
2433.10453;513980
2460.1904;247409
2462.11709;387017
2471.21571;1259762
2475.12699;498193
2476.10101;560139
2479.11636;345630
2481.21302;843278
2487.20812;3061377
2497.20555;3478137
2502.2066;1999215
2513.20221;3765509
2524.18581;780733
2530.15561;371353
2540.22629;261345
2548.21191;697296
2550.18297;800330
2566.20644;12184886
2581.22368;7422077
2583.19748;6755755
2589.25952;718164
2593.22061;180582
2608.27175;764070
2624.22919;335898
2651.25145;2040527
2652.22473;1570562
2667.23896;822530
2682.24238;540861
2695.24913;764298
2698.23704;1064538
2704.25368;10989547
2705.22485;17309958
2712.25359;1620468
2720.21264;7053594
2739.30661;1291008
2742.25755;1152342
2751.39999;767457
2757.24941;1258661
2760.26591;6536730
2764.30414;2384010
2769.3484;1018492
2776.25901;10509985
2781.33266;44631192
2792.32184;1827767
2797.32613;1217982
2803.31428;350527
2809.38995;303553
2813.32418;435271
2853.40956;19495170
2865.3315;229949
2869.40505;11199142
2881.37101;1938670
2915.42788;206998
2930.34086;1670481
2946.3331;2695180
2961.32868;387022
2988.27339;751894
2991.3737;214182
2994.39445;612012
3002.34329;605038
3010.38532;4406770
3018.3303;9148812
3026.35516;642626
3034.46946;3611473
3038.38268;283483
3053.37601;3338513
3101.38842;4064262
3117.38453;23145158
3133.37994;796821
3168.45251;1413459
3173.43767;475773
3184.44271;7842092
3200.43503;863891
3212.51271;665462
3217.49775;422429
3228.50174;7143441
3244.49483;1697991
3273.4717;564542
3278.48329;235984
3357.55691;220034
3370.53576;523762
3382.544;510988
3386.58688;181561
3400.57823;9383206
3417.57793;270204
3442.59077;296552
3494.72663;384254
3502.58165;4788900
3518.57567;4863959
3534.56961;1277022
3545.57849;223364
3562.62409;571015
3630.65097;377030
3738.67565;747084
3772.73254;268784
3789.72752;243731
3793.72625;402197
3808.74025;471948
3837.73974;984279
3856.73932;1049651
3873.74697;1816948
3890.72737;220425
3900.77383;363698
3924.82646;498749
3939.81639;293697
3978.80709;323987
3995.87068;436739
4020.83745;1122818
4037.88657;1800772
4052.87926;230860
4097.93491;482783
4113.92769;1467559
4129.92082;470699
4260.01385;383478
4270.00792;262658
4287.04127;1652019
4303.03056;5205815
4319.02485;2524967
4349.10302;205333
4365.09617;1367467
4940.2155;206320
4954.21472;348147
