m/z;I
693.47675;311486
704.0255;625013
706.31654;209667
724.3271;197575
758.38003;434619
785.42752;525487
786.37516;501618
823.48;256796
836.43892;1294035
837.42262;903617
839.08951;146872
840.47019;282055
852.43365;762320
855.39668;3006675
861.07177;178340
868.46508;1490250
869.44886;549299
887.42331;518394
908.49609;258861
918.44743;287845
945.44004;668111
946.42374;721378
950.4704;291303
993.50156;253215
1011.47569;253728
1048.59125;220547
1050.11494;189858
1060.06317;189004
1066.08018;423317
1082.49556;412454
1084.56532;246554
1087.56661;190137
1088.53924;1649952
1095.52714;172247
1105.57689;8526485
1106.5608;8579032
1114.55576;104066
1116.49338;3294293
1122.55516;262659
1128.54241;181382
1129.45942;224303
1133.57191;555488
1138.47773;299605
1139.51701;214475
1140.67693;152912
1144.51708;127418
1157.59189;140270
1162.62261;308599
1163.58201;179176
1165.58741;220066
1171.5362;264886
1178.55332;2520077
1179.60301;1250887
1182.61344;2559090
1186.46309;344435
1192.63427;876051
1193.66591;467007
1194.54756;367830
1201.58693;1593340
1202.57119;3105550
1204.49222;184057
1208.67665;1355496
1209.66094;4319407
1218.62951;298580
1235.53103;278904
1237.59401;174829
1240.62024;291839
1241.66207;145824
1249.59579;225118
1250.57856;688991
1258.59396;231809
1261.6306;1845590
1267.67751;720570
1281.6085;1639980
1281.62123;24930924
1288.61967;2101159
1293.07864;160128
1297.61632;196321
1319.57586;181707
1325.611;299724
1328.65139;1970766
1333.64129;1256402
1358.70884;330917
1360.65254;303875
1379.62181;272375
1389.65342;341982
1402.67442;161345
1427.73121;6609262
1435.68534;31399102
1443.72621;614967
1447.75682;127294
1459.69658;12593097
1467.67334;218453
1473.67574;9159854
1475.78954;751342
1492.69564;2445218
1506.71015;181777
1532.78583;3220444
1538.72268;823199
1548.70398;624335
1562.78576;34453468
1568.74803;294534
1580.77132;9083075
1586.75959;19401436
1590.81613;3424780
1600.81282;211109
1602.75443;384728
1606.78446;222682
1608.74216;556572
1614.75493;229684
1616.80764;12302464
1627.94104;209798
1640.77021;225312
1648.83311;3812659
1654.74986;989935
1655.80332;616590
1656.76713;563024
1661.7548;312377
1672.76122;742278
1680.75102;326689
1696.70895;607161
1715.9949;339967
1735.79244;606127
1748.86184;480050
1755.83377;255714
1766.83055;1224604
1776.8967;212849
1784.86061;440867
1791.73329;1370349
1791.78311;891789
1795.82543;258226
1798.77085;757532
1799.80447;734471
1800.85679;276457
1808.81074;481775
1813.87614;3405135
1817.77685;848604
1824.80641;2604299
1830.83203;347666
1832.86492;2124656
1841.86931;345654
1845.90162;652779
1848.86019;7031407
1863.87228;10746276
1866.83261;1606404
1877.8665;830224
1885.85692;640181
1892.09989;313538
1897.87267;378958
1901.90283;1268341
1907.88251;2927677
1916.965;202752
1919.87874;683358
1929.86263;383359
1939.87446;328636
1956.86308;498597
1958.92707;819760
1964.90497;226506
1968.84108;162240
1969.90133;217442
1975.99855;639427
1978.89383;1095981
1986.85631;520870
1994.91405;819374
2004.98969;332959
2013.88199;1066584
2014.84758;289560
2020.93962;659147
2021.88409;676930
2025.93012;454218
2029.98796;767118
2043.87632;1507718
2052.96583;2989702
2057.96668;580543
2068.96329;2751428
2073.99172;8188158
2089.98482;27633540
2096.96634;522285
2112.96235;812226
2115.87823;310173
2124.92342;904367
2131.1208;4494587
2134.97379;6285940
2135.04325;1533115
2151.03542;27514120
2152.94164;1427809
2161.00243;809152
2164.96753;3607595
2173.02332;685803
2185.05781;1266564
2195.13461;638879
2201.91119;213942
2214.97952;5093851
2215.94237;17599888
2215.95967;9203218
2222.98536;601001
2227.01288;2433207
2227.99139;3623636
2231.95749;1110811
2232.06336;563017
2246.04792;1155433
2263.1003;458823
2275.02561;931063
2302.02861;865711
2307.1509;1050846
2308.12608;3862720
2317.04243;2490872
2318.01917;3412772
2323.14291;566300
2324.11803;2021324
2326.98947;406842
2340.07635;621594
2350.06223;358706
2350.13193;194933
2383.95842;1942770
2387.0729;355334
2396.07599;371814
2415.12565;262402
2416.09964;207146
2429.08691;306611
2432.1983;226475
2446.21682;351473
2448.0773;336372
2448.19591;732851
2460.11848;218932
2464.07082;256572
2476.1099;568819
2505.09877;587051
2521.09064;243063
2532.19955;226643
2549.19795;4073273
2565.19098;1672735
2571.17689;173519
2581.233;2259251
2583.2073;5430746
2589.26351;274817
2599.20552;393280
2706.24272;1572313
2720.22639;256362
2904.39296;360728
2930.27424;189688
2987.29373;180118
3019.32604;2536861
3102.38768;237468
3118.38709;2169564
3134.37436;342514
3243.35787;213087
