m/z,I
840.46873,382360
886.43750,194809
898.51110,1434132
1078.53948,170358
1079.57111,247627
1095.56614,5686493
1105.57553,16903330
1115.54439,373287
1116.49222,487724
1121.57060,316554
1162.62217,491199
1163.59196,491291
1168.60702,224198
1177.56777,3066749
1180.64418,2483340
1182.61202,439410
1184.49368,200033
1196.63932,7511609
1201.58558,1770255
1215.56105,175496
1219.58232,355807
1223.61297,419169
1223.64979,216750
1240.67678,7447351
1261.65415,273857
1267.67629,4025131
1295.59900,157251
1312.74836,403235
1328.64938,1502628
1332.65582,2862539
1344.64455,410986
1373.67851,2363415
1404.76103,477255
1417.75553,339355
1427.72841,22808668
1435.68311,18153018
1459.69371,19338282
1464.66166,467184
1473.67371,5203396
1524.78898,226189
1532.78342,1669429
1550.75791,3911893
1561.79900,7059223
1562.78314,3744273
1562.83036,4237752
1573.80085,222333
1585.77330,5424721
1586.75741,8534804
1604.81586,221174
1615.82158,3589126
1620.64695,226860
1627.74317,848517
1628.72683,557532
1643.73840,680861
1644.72209,511623
1648.77962,1160470
1648.83034,2708122
1651.78397,617715
1655.80131,3920242
1655.81624,1346741
1664.77480,832211
1674.81395,1375750
1683.81005,473974
1688.88427,233975
1690.77869,624662
1695.72257,321042
1698.82206,328239
1706.77400,2297771
1716.91582,490282
1726.86603,1212048
1758.73562,2924300
1759.71866,2643888
1769.89622,1056069
1788.77070,672437
1798.81669,1746117
1799.80049,2463744
1804.93146,13230864
1812.88839,1796589
1815.79378,408149
1816.86537,357767
1822.83496,590816
1832.86169,2193053
1838.86678,603111
1845.89924,437042
1848.85716,3368616
1858.85081,194748
1863.87386,3085284
1875.94472,1137502
1887.94528,254910
1892.92241,10974827
1908.91950,466276
1933.97324,463816
1962.92874,1177607
1975.99491,70563848
1991.99350,1525048
1997.00917,1931776
2004.98450,352904
2009.96505,343041
2014.96025,521418
2015.94375,499153
2019.97491,2177189
2027.99563,330874
2028.99971,3940769
2029.91656,982360
2039.07102,458928
2039.95504,1515214
2047.96838,289064
2056.09320,15683575
2056.97935,58259852
2065.96746,2391836
2072.09262,9548642
2072.97897,1085872
2073.01544,6836458
2078.04272,587011
2081.96315,2244061
2089.00780,16645536
2094.03276,3713272
2105.00170,6461538
2110.90034,1045270
2110.99095,288999
2123.95035,314505
2126.01245,332330
2131.11710,32639042
2147.10865,1020319
2150.96920,1772061
2151.03124,2056443
2153.09528,283734
2186.06535,326839
2198.97398,1479123
2200.06269,521633
2214.97046,34135828
2216.05982,44268984
2230.96841,2815175
2232.05796,5348483
2244.04432,602963
2251.03908,746299
2268.88655,475602
2269.97689,470356
2274.16310,415233
2293.12675,6026479
2300.05898,383091
2307.14084,7579078
2316.05018,2734155
2323.13299,1343780
2332.04455,352614
2348.08752,1768918
2363.08331,367534
2364.08662,3760414
2368.13440,1711922
2389.19997,2568593
2409.11446,330374
2424.09404,1932424
2461.15844,1317100
2467.22443,290069
2477.14983,3335230
2485.23064,8688244
2497.20718,8189119
2501.22681,4637628
2513.20485,12096231
2527.24483,293742
2529.20172,577425
2540.16540,450811
2548.21314,4021711
2566.20938,7165030
2573.26472,356170
2581.23047,3483756
2589.25737,1245550
2594.17041,1833960
2607.29263,1347041
2609.23525,3005331
2610.16825,614188
2620.12895,352930
2625.23629,919677
2634.28953,334127
2675.25136,260197
2689.25867,978809
2702.23423,10354959
2704.24523,33562908
2719.23408,14943904
2742.25531,836339
2749.30783,1268654
2759.28927,3640848
2767.32443,20200908
2774.16471,444190
2775.28411,5514925
2792.32939,14049629
2808.32270,644582
2821.23232,620765
2839.39296,302491
2879.39203,1758132
2883.42369,34837572
2889.35501,645647
2899.42443,5307333
2930.34319,1084146
2946.33682,1403219
2967.40045,1522452
2972.31810,356118
2988.30784,1925502
3001.36740,1586834
3017.35856,19607792
3025.37469,331088
3033.48731,2012455
3036.40418,704173
3045.40447,428464
3052.40063,1494069
3068.39252,310994
3071.28183,277117
3084.41780,889169
3100.41371,9019589
3116.41312,18997404
3132.40895,1961516
3167.48552,2032905
3170.33139,428792
3183.47759,13189481
3199.47079,1714833
3227.52116,5658933
3243.51303,1256133
3393.59719,514759
3413.62522,661114
3517.59973,517996
3533.59022,267709
3575.66816,401932
3651.55837,695056
3722.59480,905396
3736.71515,473212
3835.77390,546944
3872.76606,500409
4035.92277,240538
4302.06372,277116
4364.12088,331185
