m/z;I
722.35857;569116
892.50018;272871
898.47511;505611
992.51648;234780
1022.53848;198733
1032.54766;206339
1048.5904;178829
1105.57572;1895602
1105.62296;310893
1133.57011;162365
1138.5612;351531
1150.59708;675259
1153.56041;310538
1162.62239;566259
1163.59226;823187
1167.57647;539977
1182.61185;682479
1193.62765;190549
1196.63911;255537
1204.60855;168780
1226.57688;182368
1250.61253;145994
1254.53557;169385
1259.64937;153470
1261.62929;349795
1264.62892;179936
1273.70238;275171
1308.67464;149523
1311.62983;293046
1316.67134;289647
1322.64548;312236
1324.62523;167412
1343.67117;531070
1346.7186;343975
1370.68161;150665
1420.68072;205868
1427.72872;3812376
1437.67248;372381
1459.69348;673589
1473.67328;355430
1532.78322;547156
1550.75707;507458
1576.81245;215658
1586.75647;514755
1591.82341;193125
1599.82526;286364
1604.8141;284757
1615.82033;1163141
1648.82944;1119014
1655.81552;551457
1683.81117;227065
1690.77803;353344
1706.77387;495431
1716.91571;628003
1726.86582;443972
1764.87922;473751
1787.90473;328323
1804.93116;3144752
1816.86545;571263
1838.97655;233744
1875.94353;221916
1933.97257;245952
1958.97001;501322
1975.99555;4195503
2039.07019;695041
2056.09321;5262595
2056.97978;2838203
2072.09115;946739
2073.01339;563189
2089.00763;459563
2131.11706;1532073
2151.02825;219385
2214.97265;154683
2216.06048;1190283
2232.05557;216155
2269.08455;343960
2304.07522;164047
2689.2609;1934673
2705.25488;5887805
2767.31934;1125580
2785.35767;496061
2792.32811;1555216
2820.23151;323572
2883.42586;693881
2889.35324;500768
3001.36792;282362
3017.36158;1418870
3017.49559;526989
3033.48907;2925700
3052.40291;693317
3068.42068;249840
3084.41312;1478422
3100.41109;2833307
3116.40978;1347308
3651.55729;1496424
3722.59346;613972
4096.94286;1949604
4112.93739;1352994
4348.11122;629847
4364.1097;649655
