m/z,I
698.35779,263225
701.33967,276513
892.46365,752056
892.50012,494104
898.51085,634230
992.51612,243113
997.47029,264009
1010.50174,347320
1013.50157,314931
1032.54767,360536
1048.50567,181549
1071.48894,353256
1075.56419,180657
1079.52295,378437
1088.59662,271008
1094.53417,447475
1096.53858,660955
1105.57532,3528421
1105.62269,814945
1121.57006,190725
1121.61763,318388
1136.60636,383174
1146.56563,397382
1150.59630,226908
1153.56011,576727
1162.62194,574081
1163.59216,852120
1164.53930,148852
1164.60083,377009
1165.52409,411514
1167.57586,1050782
1182.61166,258483
1183.57086,1447407
1192.67989,347581
1193.55512,196035
1196.56584,252294
1208.67481,1505570
1209.65904,535691
1215.61127,215373
1224.53160,251799
1226.57663,280093
1241.55866,1604955
1241.66030,945397
1251.65167,230108
1267.67538,563005
1273.70194,301627
1282.63969,233487
1301.62369,252243
1308.67345,547544
1316.67104,340387
1323.66537,496419
1343.67081,409386
1374.74929,151892
1392.68666,197894
1409.72161,257817
1417.72930,450481
1427.72840,6882331
1435.68231,2359237
1443.72281,272114
1453.74397,1338768
1459.69332,1587622
1467.71862,277170
1473.67245,793376
1496.75283,306508
1537.70370,225035
1561.79822,5107263
1562.78221,2580206
1562.82954,1311076
1572.75011,202871
1589.77780,379429
1605.79793,263100
1608.73992,233021
1620.69691,311850
1637.72360,936358
1648.82900,518314
1655.79937,669579
1688.88235,179245
1694.74533,604958
1716.91500,523437
1719.84227,303640
1743.72507,417942
1766.83217,579087
1775.83964,152829
1783.80273,1001200
1787.90390,327663
1795.91012,376622
1804.93045,3225537
1816.86545,2699759
1819.89403,296424
1832.86038,2404774
1838.97626,442522
1846.83218,435528
1888.96292,245051
1893.92336,300387
1899.99245,521834
1922.93266,1847195
1933.97240,417442
1958.96966,1540562
1961.97910,829684
1974.88996,389898
1975.99485,12278331
1980.96442,354950
1997.00660,805856
2013.98523,220996
2014.07192,715788
2028.06364,1073875
2039.06883,1920215
2039.95395,670011
2044.05741,825756
2056.09283,17568924
2056.97920,4318543
2057.96383,2131088
2072.09001,5640319
2073.01234,791814
2089.00660,988579
2105.00117,355469
2131.11549,5219066
2146.94048,208844
2188.02641,321541
2198.97107,1282244
2207.14732,253805
2216.05856,3179073
2232.05583,484216
2266.05814,421760
2344.05624,405371
2364.08439,231771
2410.14107,613974
2419.15039,532181
2471.21454,197020
2487.20923,489017
2497.20602,1057747
2508.18872,342126
2513.20301,795510
2550.21427,3194473
2581.23495,1401220
2650.24496,245709
2689.25928,1802830
2705.25373,12768740
2719.23429,1498644
2726.25973,1381128
2743.28802,2783531
2759.28634,4217166
2763.32445,1070505
2780.34905,4916082
2781.33208,5515620
2785.29944,848660
2792.32716,2967872
2814.32865,397344
2820.35393,420874
2853.41068,5609148
2883.42292,577660
2988.36959,400243
3001.36882,604822
3017.36278,2372575
3018.34146,1672607
3033.48814,4521371
3082.40325,378054
3084.41378,4663848
3098.40056,777754
3100.41173,17684664
3116.40923,2080574
3133.38066,270284
3183.47528,991701
3226.52040,865456
3400.58143,506948
3502.57734,257936
3736.60900,738517
4036.89548,1001732
4053.91976,581813
4069.91411,781387
4085.91105,501868
4096.94150,979668
4112.93732,1403360
4286.06142,755396
4302.04832,1890095
4318.04455,528558
4348.11186,804601
4364.10522,1999735
4507.15125,1321877
4523.14752,285803
