m/z,I
784.44272,270925
836.43799,941110
840.46891,368826
852.43290,482139
854.41184,716214
868.46427,844739
886.43845,365006
898.51127,2103078
1088.53822,750093
1095.56624,4995562
1099.54999,383890
1105.57173,2592015
1108.57314,723617
1116.49245,971957
1121.57085,295215
1125.52950,236708
1127.55769,612541
1137.56528,175291
1153.56058,219692
1161.57355,1419922
1162.62234,461437
1163.59234,756233
1177.56804,2527147
1182.61233,1144589
1184.49363,412729
1192.63299,451593
1192.68074,2633139
1193.66429,263810
1201.58569,2199902
1208.67530,14348549
1230.65679,228530
1240.67685,2117160
1241.66085,1732789
1251.60914,123098
1254.53560,215389
1261.62914,459536
1267.67643,5474665
1281.61995,2720537
1315.63896,186931
1324.66862,330784
1328.64987,1173352
1332.65578,3311068
1343.67192,373520
1354.63817,340572
1379.61842,210113
1387.69493,2629396
1392.68695,229108
1409.71374,233675
1415.66718,216938
1417.73005,405196
1427.72838,42987496
1435.68329,25276428
1443.72396,1363998
1449.71142,714229
1459.69431,22301490
1465.68511,211316
1473.67394,8349453
1481.67599,529472
1492.69309,1279231
1496.75434,503761
1532.78379,2990577
1561.79912,17027986
1562.78334,11038967
1562.83068,7221370
1568.74711,386281
1580.76900,6009916
1585.77339,5826097
1586.75754,13162397
1591.78328,220533
1599.82502,400079
1615.82149,8192957
1631.81504,332315
1643.73785,927732
1644.72221,1284119
1648.78033,3447794
1648.83033,3248741
1655.80183,4027906
1658.81737,289647
1671.80970,317982
1674.81481,1457366
1683.81037,392388
1690.77943,1234641
1695.72335,207733
1706.77425,4570393
1716.91617,497660
1726.86665,1760366
1758.73603,2185605
1759.72002,2425356
1768.86300,302864
1783.80359,1235551
1787.90541,498223
1788.76985,192907
1798.81696,2306666
1799.80123,4219612
1804.93179,17283870
1812.88879,2073922
1816.86711,2451803
1820.92712,291832
1822.83523,1176104
1829.90570,445851
1832.86152,8667424
1845.89899,428855
1848.85746,6209896
1854.84486,425695
1863.87387,3363788
1888.92046,527562
1900.87897,424351
1905.90617,382344
1919.87583,167156
1922.93484,13712035
1931.96914,236399
1933.97429,450645
1944.91587,268230
1945.98692,404425
1958.97139,1696323
1975.99513,74615824
1991.99398,2020815
1997.00876,1748585
1997.99252,1879956
2013.95702,846801
2019.97539,5108369
2039.95565,2385052
2051.97795,840054
2056.09328,29777340
2056.97925,93851736
2065.96854,1014733
2072.09301,14362410
2073.01560,15437457
2078.08068,504397
2078.96603,1719913
2081.96303,888136
2089.00781,31177140
2094.03253,1544775
2105.00186,9397647
2110.90159,502921
2110.99060,1015010
2115.97290,328819
2118.09622,449917
2131.11734,45329320
2147.10903,1395880
2150.96983,1575366
2151.03141,2759426
2153.09648,1574951
2163.00861,1727492
2163.10617,453456
2172.03638,412922
2198.97366,15590098
2200.06398,1004477
2214.97088,35190776
2216.05950,117992368
2230.96906,1286327
2232.05811,11681961
2236.95515,853705
2238.04399,2396331
2248.05045,710135
2256.05346,717026
2261.13143,3996290
2261.98770,970656
2265.05371,522411
2269.97677,315918
2272.05005,709227
2283.11549,721049
2291.14748,6964395
2300.05794,1110999
2303.03082,364248
2307.14101,10148646
2313.12629,852426
2316.05101,4092290
2323.13281,1935402
2329.11822,1766466
2348.08874,2233616
2364.08724,4802754
2410.13917,3576310
2424.09464,2091249
2447.21238,723058
2471.22035,2914296
2477.14527,1091673
2481.21234,3550045
2487.21094,8886473
2497.20660,14572059
2513.20514,16773729
2526.08713,807408
2529.20535,907013
2535.18740,772062
2548.21267,6098044
2564.22676,711125
2566.20924,5381831
2570.19023,1085439
2586.17892,432720
2589.25691,1539748
2607.29263,1145725
2611.24340,304532
2634.30981,448388
2651.25226,4712971
2667.24387,1376116
2675.25085,769810
2689.25995,4107129
2704.24521,96259608
2719.23482,17767214
2727.24170,1925385
2735.23525,999922
2742.26442,2350533
2759.29180,7459936
2763.32488,2023942
2769.35352,1552288
2775.28487,6776018
2781.33909,31693760
2792.32986,16576953
2803.31526,778047
2808.32295,554125
2809.39300,431884
2835.24541,402551
2837.41722,366806
2853.40943,43552488
2869.40811,5551148
2875.39523,734854
2880.38940,852905
2884.40510,788734
2889.35684,395631
2930.34517,1066825
2938.38663,793122
2972.31738,447312
2987.33432,1014492
2988.30996,2458883
3001.36785,2230278
3009.40279,1601203
3017.36039,15464073
3018.33620,2952853
3033.48725,7305597
3039.34554,599450
3049.48853,259678
3052.40266,1742082
3055.47171,335949
3068.40138,371994
3084.41741,1792390
3100.41546,16094987
3101.38786,1941233
3116.41415,19474976
3122.39991,460372
3132.40839,1253962
3133.38368,302421
3138.39730,738702
3147.40073,235386
3167.48748,2894139
3183.47906,12621083
3199.47341,1836750
3211.53176,565937
3227.52178,7659565
3243.51535,1068823
3249.49723,306216
3399.61203,891776
3516.59813,496150
3665.57880,357842
4112.94807,509323
4302.06192,380039
