m/z;I
746.17581;138897
868.46364;287639
892.46426;878639
892.50007;374625
1003.16292;108314
1010.50207;353424
1048.50611;139884
1053.51508;142026
1088.59712;173198
1096.53868;950168
1105.57539;2403229
1105.6233;424778
1108.5754;310923
1121.57008;144504
1121.61849;311729
1129.60096;639368
1136.57069;374439
1137.52884;195360
1146.56556;345516
1151.58103;205302
1154.58102;304344
1162.62253;399739
1163.59205;917043
1165.52393;356711
1167.57634;886763
1181.55498;474618
1183.57102;790898
1186.62271;656374
1193.51892;194352
1193.55464;177781
1193.62848;321042
1196.63923;337206
1201.54532;132592
1208.56581;253506
1216.681;341860
1223.60295;138235
1227.5607;146366
1241.55917;642763
1241.65959;577391
1250.61315;229094
1254.53513;283496
1260.59091;209045
1299.70691;260451
1308.67403;261730
1323.66574;399324
1335.6313;316176
1339.66203;337348
1343.67218;355425
1417.72943;474017
1420.68348;570361
1427.72747;6507634
1435.68025;1982256
1437.67373;367133
1459.69204;1221891
1473.67413;619654
1483.7146;325920
1537.7043;183979
1561.80031;1879118
1562.78311;2595051
1573.66181;315366
1580.76826;742412
1589.7789;447272
1605.80042;228659
1622.74215;150425
1637.7248;391672
1648.82884;805556
1699.88771;197193
1706.77298;710992
1716.91535;775797
1726.8652;462584
1735.79887;178562
1783.80256;1374254
1784.85608;246325
1787.90568;763297
1799.79768;563876
1804.93118;7268322
1816.86496;1698779
1832.85827;1986992
1848.85473;745478
1871.96274;220310
1887.95961;251468
1888.91965;311713
1898.97707;348344
1922.93397;1215037
1931.96741;304864
1958.97155;1950382
1975.99522;16589606
1986.04468;483289
1998.02857;1168964
2002.03729;286816
2011.03681;1431959
2012.95397;156788
2014.95816;333351
2028.06647;9037492
2039.95561;946339
2040.93864;596255
2044.05782;5306720
2056.97806;7293109
2057.96249;4354770
2115.97277;245928
2131.11873;4024480
2216.06101;2233096
2232.05919;838581
2256.05105;685335
2267.14627;214868
2272.04455;405397
2303.02963;195319
2344.11037;329811
2348.08533;586717
2364.08311;380745
2410.13201;920249
2419.14658;306830
2481.21276;645872
2485.22887;1221035
2497.20607;1191945
2513.2046;667715
2550.21613;614874
2566.20171;649640
2581.22032;1820138
2689.25832;1689002
2698.23095;330609
2705.25412;16283524
2706.23033;3308408
2719.23406;1352636
2720.20835;476202
2724.2908;379720
2727.31066;401657
2728.28452;284238
2742.25668;431752
2750.29202;1272195
2759.29;970772
2767.32225;9890990
2775.2852;284267
2785.35839;371986
2792.33104;2673423
2794.40203;788795
2839.39391;249658
2867.42268;421602
2883.4233;6908671
2899.42092;1314535
3002.34363;289723
3009.4004;500525
3010.37765;420974
3016.35459;267820
3017.3603;2906889
3018.33734;2383006
3019.31493;870940
3036.40214;560365
3052.4013;1037675
3070.38952;626681
3083.40956;246030
3084.41496;3146992
3085.38111;1037794
3093.49953;5729581
3100.41502;7404537
3101.39703;1689545
3116.41405;1864345
3227.50108;456229
3651.54509;572756
3722.59942;534749
4037.87949;399892
4053.94339;541378
4096.94468;1140810
4112.9302;1456899
4128.91801;281242
4153.08627;619000
4203.05797;534686
4287.0442;594759
4302.0421;1340116
4349.09861;876055
4364.10104;1729658
4593.14966;527652
