m/z;I
698.35777;239259
742.94045;114823
821.15211;107307
868.42759;272800
868.46384;588346
880.01017;125084
892.46388;1292382
892.50008;750198
894.44321;181959
898.47451;1057788
898.51074;802946
908.49495;383864
942.44624;473641
952.46738;446803
988.03054;462961
992.51628;229642
1010.4902;136497
1010.50155;653009
1027.4803;181538
1032.93842;110949
1041.42352;135888
1044.44519;141603
1048.55333;300075
1048.58995;250364
1064.51196;236197
1080.50693;273477
1088.5956;217134
1095.5652;683349
1096.53784;595617
1105.57499;4698111
1105.62268;723283
1108.57478;346357
1112.57358;222613
1121.61775;277219
1129.60051;812016
1136.56975;553766
1139.54308;197188
1150.59642;759715
1162.62127;579249
1163.59175;922704
1165.52344;312078
1166.55502;394799
1167.539;276528
1167.57559;1370553
1183.57044;1333533
1186.62172;998673
1191.64807;220252
1193.62725;228048
1196.63859;778891
1200.61157;149394
1203.12713;107599
1203.62265;324167
1208.56534;449856
1223.57585;186909
1223.60116;228434
1224.63261;230975
1241.66001;1880508
1244.60179;135977
1250.61228;221828
1267.67547;885196
1273.70123;422297
1296.58074;229883
1299.70565;347749
1308.67344;634624
1319.635;564368
1323.66487;677589
1343.67009;296663
1370.60042;273199
1374.74899;759215
1379.61826;251832
1409.72186;283156
1416.68617;649116
1417.72935;501463
1420.6807;487438
1427.72776;11277707
1435.68157;3015633
1472.78566;222819
1473.67209;871228
1483.71381;532113
1496.75191;287271
1503.79833;196291
1550.81362;231373
1561.79748;3593502
1562.78172;3398338
1586.75562;2488923
1589.77685;387527
1596.76328;200704
1597.74627;138522
1600.80786;232047
1615.81917;1946672
1616.8035;1277079
1620.69627;184957
1637.72375;532158
1648.77796;411787
1648.82885;1023129
1658.8163;417856
1690.77672;487048
1694.74449;345105
1699.88681;321896
1706.77196;699356
1710.86745;181482
1716.91424;1191360
1717.78845;243731
1726.86444;1625334
1728.9055;208612
1743.7233;224171
1760.90382;215242
1762.90802;442403
1766.82985;377666
1769.89479;243701
1775.80285;159686
1783.80171;1789077
1784.85479;242912
1787.90366;1353650
1791.82592;345158
1798.81324;273071
1799.7982;896940
1800.86993;931259
1804.92951;15256820
1816.86428;3181303
1832.85967;2762955
1848.85463;635210
1871.95964;589935
1874.82738;273607
1887.95641;278976
1899.01968;145738
1899.95624;237428
1900.87868;365255
1905.90363;375500
1922.9315;2770787
1931.96645;461070
1933.97118;1319461
1958.96781;3104900
1962.92698;356440
1974.88894;354898
1975.99376;30720234
1986.04055;1059833
1991.98933;212237
1998.02637;5769101
2011.03441;2944060
2015.94051;298658
2020.94231;400049
2028.06251;22335296
2039.95283;1283313
2040.93738;568516
2044.05623;8710553
2056.97782;11139090
2057.96256;5766514
2073.99421;634188
2089.00336;606655
2095.01543;286042
2131.11374;4736151
2146.94212;334107
2198.97045;477842
2200.06026;447114
2209.03668;254553
2216.05708;6192320
2225.04202;187958
2234.08908;192503
2244.02682;194867
2256.0493;1189021
2266.05601;639943
2267.14377;386667
2272.04495;290792
2288.09031;157331
2322.09329;343788
2348.08497;1162121
2364.0821;894489
2372.04663;213987
2390.17839;901966
2403.14668;368221
2410.13575;824709
2419.14872;444102
2466.22195;505774
2481.20928;1745999
2485.22881;2099630
2497.20299;1825045
2502.20374;374127
2513.20004;727279
2533.18425;420760
2550.21175;2257397
2566.20363;1482660
2582.21436;2031526
2651.24521;368035
2689.25778;3740954
2695.27933;351548
2705.25147;14570645
2706.23027;3282862
2719.23091;1160307
2726.25646;817645
2742.24907;888159
2743.28247;2094843
2751.39093;708359
2759.28135;2702224
2766.33524;2716781
2767.3157;9066140
2775.27523;842265
2792.32432;4690900
2794.39803;1174940
2799.33705;193455
2839.39224;405037
2860.34541;360944
2867.42377;916424
2883.42119;10867601
2899.41479;427107
2914.33455;266326
2930.3347;324666
3009.38084;811701
3009.40104;1040622
3017.33448;2118002
3017.36064;2751627
3019.31885;1003655
3036.40419;655635
3045.40034;341719
3049.46323;305545
3052.39969;1087134
3068.41238;923938
3077.49636;1001028
3084.41116;5682251
3085.38858;1757524
3093.49173;10823960
3094.46591;2954254
3100.40932;8338419
3101.38613;2818815
3102.36568;959830
3115.47664;267443
3116.37739;586746
3116.40447;1621976
3183.46834;419146
3227.52017;661287
3228.49071;412139
3517.45289;231761
3651.55373;793007
3722.58509;988009
4019.88797;527419
4036.88198;2102761
4053.91137;1374577
4069.90553;1673580
4085.89783;830308
4096.93571;2028059
4112.92748;1959803
4152.07679;513310
4186.05511;371580
4202.05367;418865
4286.04259;773569
4302.03611;896542
4348.09887;2341130
4364.09213;3239036
4578.14917;389181
