m/z;I
892.4643;1123735
892.50058;381855
898.47507;1130798
942.44694;417544
996.47531;426452
1010.50209;336692
1013.50213;339809
1032.54796;520004
1088.59693;324754
1105.57601;1871287
1105.62346;545886
1108.50309;227049
1121.61856;248249
1150.59722;595031
1163.59262;839419
1167.57645;1249219
1183.5712;1870493
1193.51922;339340
1193.62754;267067
1196.63945;239003
1216.68065;269531
1241.55974;797730
1241.6608;652299
1261.59237;298953
1267.67689;325058
1273.70167;300605
1308.67457;442009
1323.66615;503012
1335.63068;404677
1374.7507;566588
1427.7295;4654924
1459.69432;762870
1561.79944;1685034
1562.78322;2261281
1580.76893;713882
1615.82118;1014539
1616.80556;470875
1637.7245;567685
1699.89026;217007
1706.77338;444501
1716.91616;942407
1762.91078;207010
1783.80307;841967
1787.90547;891951
1804.93171;5864259
1832.86209;1316439
1848.85746;417263
1871.96282;385988
1874.828;302287
1922.93448;1194999
1931.96848;286876
1933.9733;682527
1958.97109;2076082
1975.99602;11269685
1986.04385;951367
1998.02954;1862066
2011.03665;2250213
2028.06574;12491982
2039.95488;694548
2044.059;3761847
2056.98051;3439600
2131.11817;2661983
2146.94217;268751
2256.05443;422192
2266.05984;323066
2322.0965;525177
2335.20649;274668
2403.15134;350845
2419.14726;623755
2476.17127;434398
2497.20756;508957
2513.20705;506273
2550.21515;938017
2566.19795;313022
2689.26154;372900
2705.25608;8675069
2719.23433;762168
2759.2874;805002
2767.32227;4504681
2775.28298;322117
2792.3303;2089565
2794.40352;605864
2814.33146;621179
2820.23891;466997
2883.42629;3406864
2899.42425;483754
3017.36633;1223681
3017.49569;384139
3033.49048;4873165
3052.40739;769393
3084.41672;1946163
3100.41461;6325870
3101.39192;2020549
3116.41319;1817703
3651.55916;862173
3722.59661;996002
4036.89527;672112
4069.91791;509272
4096.94105;549196
4202.07164;317107
4348.11513;681959
4364.10598;1977499
