m/z,I
1010.50176,242228
1064.56008,197890
1071.48899,232886
1105.57515,3542411
1108.50184,193914
1120.54963,715841
1121.58102,568598
1121.61774,431781
1125.52881,718676
1146.56481,276196
1162.62173,629407
1163.59173,708712
1167.57575,649768
1181.62726,253328
1193.51837,214448
1193.62767,261057
1196.56574,302434
1224.53145,241284
1226.57654,439512
1241.66006,576494
1259.68613,250956
1264.62805,185492
1273.69050,232767
1308.67344,378378
1392.65054,399858
1435.68229,3705217
1439.72409,232390
1453.74379,14578712
1459.69322,2543002
1469.73858,785913
1473.67220,1200241
1561.79792,5716003
1562.78217,2274452
1562.82951,1460536
1586.75628,2168524
1589.77794,254457
1604.81476,293078
1615.81977,1483375
1616.80337,372938
1637.72325,391190
1655.79967,490739
1678.74978,238881
1690.77738,267066
1694.74559,259872
1706.77321,970828
1743.72421,401624
1783.80255,1042743
1795.91009,1901973
1799.79877,485804
1803.90984,4606407
1804.89391,4732299
1816.86500,2862365
1832.86026,3228419
1838.97590,269343
1848.85518,983450
1892.92126,1800429
1918.95676,335185
1961.97977,13183541
2002.03596,364788
2011.03487,825365
2013.00035,1318160
2028.06386,8364904
2044.05709,9127789
2056.97868,9206472
2057.96339,2972324
2060.05073,208451
2089.00526,1270617
2105.00013,2622492
2105.98559,774483
2121.98179,254663
2131.11518,8729715
2146.94158,313773
2165.04853,269481
2188.02693,5320546
2207.14592,227287
2214.96725,716674
2282.07002,896981
2298.06639,358250
2310.13777,502492
2364.08265,305746
2410.13737,1377511
2445.20804,293771
2455.22363,2805280
2467.19682,1245121
2471.21653,811242
2483.18887,2409280
2499.18400,1559651
2548.22241,510597
2565.24113,3997374
2576.22466,1389254
2592.22088,791212
2651.24736,739204
2659.24907,364161
2689.25813,7305064
2705.25254,16246267
2719.23290,4247457
2752.27694,1315637
2759.27225,707124
2767.31349,10942519
2785.29955,8745228
2801.29084,2960402
2820.35227,7955695
2839.39295,335035
2867.42556,1401615
2883.42230,14424466
2899.41958,1923192
2915.41566,279538
2918.29314,1153135
2930.33631,280824
2987.38878,9199813
2988.36749,5704558
3008.39938,888536
3017.49167,474519
3033.48587,3844864
3036.40521,439604
3052.40205,652161
3068.41817,828403
3084.41273,7622089
3085.38935,2448970
3100.41101,11526552
3101.38728,3903524
3116.40794,3108112
3117.38479,1270984
3153.46614,1967962
3169.46128,1929912
3170.43710,858050
3225.53992,1167632
3241.53041,2469273
3682.57773,479783
3752.60441,814370
4096.94065,1678203
4112.93296,1728917
4128.93620,276975
4138.07519,464609
4274.02191,572129
4290.01304,1628410
4306.00295,879960
4375.11481,589189
4391.11066,1474505
4493.13597,1633837
