m/z,I
836.43760,292491
898.47464,317053
898.51090,565050
1026.49681,261677
1048.55379,369387
1105.57510,3915922
1108.50199,201583
1121.58139,2195408
1138.56041,295112
1153.52332,268524
1154.58022,353885
1162.62195,617863
1163.59188,726526
1165.52340,402066
1180.64337,1997003
1183.57055,337843
1196.56578,352945
1196.63876,1073234
1201.58532,370648
1207.60625,275668
1226.57680,507239
1249.59232,307101
1275.64411,263236
1280.62336,237150
1311.62847,215121
1316.67030,173306
1323.66484,157981
1349.69560,314056
1350.68060,211603
1362.71202,171137
1392.65018,287907
1453.74301,16341831
1459.69309,3444057
1469.73836,720011
1479.79549,1095968
1482.73662,300596
1511.74411,216138
1546.79743,740718
1550.75687,1252887
1561.79789,4986685
1562.78204,2165299
1585.77224,1919695
1586.75615,2389056
1604.81473,251473
1608.74059,191755
1628.72569,336407
1636.77190,618244
1647.80832,435675
1655.79958,528944
1683.80928,580082
1698.82046,830106
1702.89913,467144
1706.77314,2122398
1710.86869,290921
1726.86531,553916
1734.81429,166776
1759.71923,265011
1768.86233,340648
1786.88258,660673
1795.91018,1196752
1799.79883,849734
1803.90985,6742644
1804.89374,5708612
1832.85982,2739868
1848.85488,2868285
1864.84801,665231
1888.91795,429099
1892.92153,1967839
1917.95438,196351
1919.95907,431997
1944.95331,1281527
1960.85428,333676
1961.97974,22673002
1976.84770,500252
1977.97290,452020
1983.96101,252525
1990.97070,1413160
2005.95656,722927
2011.03458,627019
2013.95520,613855
2028.06399,9768478
2039.95458,1249827
2040.98486,1105836
2044.05677,6855558
2044.99036,1622395
2056.97825,23000586
2073.01167,645442
2089.00618,4053834
2105.00112,4530630
2108.04860,583891
2120.99825,1226849
2131.11568,8539521
2146.93834,346995
2147.10837,230639
2149.05033,319848
2150.96715,251283
2165.04749,301915
2172.03536,966579
2179.09431,913735
2188.02774,7613987
2214.96717,2608826
2230.96602,1690723
2280.05683,209465
2294.14449,787714
2310.13699,885700
2348.08601,1266378
2356.19166,526472
2364.08372,797175
2395.14599,263162
2439.23105,1288902
2451.20311,1345173
2455.22383,5246669
2467.19615,3635940
2472.21678,627015
2483.18827,3945102
2499.18454,1501861
2532.21653,309701
2550.14684,822905
2564.16154,1028214
2565.24100,4046135
2580.15309,691836
2592.21822,649842
2608.21551,481768
2669.24896,362703
2673.26529,3713761
2689.25784,11780093
2703.23800,29075996
2719.23145,8618624
2737.29164,775739
2749.30886,1620925
2757.16381,404018
2767.31865,13268521
2768.27739,1292272
2785.29833,4687181
2801.29089,5575782
2820.35162,14316346
2839.39123,390430
2867.42418,3661770
2873.35389,925951
2883.42132,23522750
2889.34856,1642954
2899.41972,2172633
2905.40764,370353
2917.31316,2380469
2918.29238,2186549
2932.33973,472275
2971.39024,488148
2987.38564,31219094
3003.37913,902797
3008.41789,832937
3009.39737,1028619
3017.49176,918901
3020.40749,561078
3033.48473,4762350
3036.40198,1943125
3045.40089,446566
3052.39740,2245456
3068.39070,829865
3068.42127,607240
3084.40962,3125478
3100.40937,9967380
3116.40808,11389149
3132.40373,4183860
3153.46621,6335450
3169.45998,5352224
3185.45019,441364
3225.53945,2245901
3241.52818,4109435
3257.52425,741286
3516.58801,418201
3549.64885,579072
3681.56477,1436791
3736.60745,280043
3752.60330,1778562
3771.75870,300218
3787.75281,243189
3837.73435,303730
4020.91339,407509
4096.94075,3028572
4112.93534,2788175
4128.93141,495011
4139.07185,592766
4274.02019,728596
4290.01272,986835
4306.00374,364787
4359.12311,260177
4375.11747,1288535
4391.11212,1864564
4493.13196,881861
