m/z,I
722.35848,499891
898.47466,405058
898.51131,412941
1010.50160,364115
1038.87942,292729
1048.50676,175034
1063.52808,259006
1086.61950,536411
1105.57561,2238728
1108.62723,274339
1121.58181,1131587
1121.61784,252787
1138.56059,378829
1153.52395,404223
1162.62248,858433
1163.59239,868415
1165.52404,413988
1167.57605,616768
1176.61245,325983
1180.64423,680787
1196.63901,649898
1207.60664,211262
1209.55020,197924
1264.62893,275408
1274.72665,5280849
1280.62375,220148
1290.72224,537416
1314.66593,254336
1323.66587,235321
1335.63009,672125
1346.64616,532508
1379.69246,183186
1435.68314,1929382
1453.74467,7925297
1459.69380,1500835
1479.79651,2077254
1511.74527,201786
1550.75704,793708
1561.79920,1598860
1586.75747,1265329
1615.82110,1093536
1638.78812,227531
1655.79944,372153
1655.81472,193159
1726.86682,576008
1786.88413,351387
1791.82701,231565
1791.87866,176424
1795.91105,620828
1799.80029,566936
1803.91137,2554620
1804.89536,2534087
1816.86567,241649
1832.86179,1643007
1848.85673,1620934
1892.92259,858430
1919.96185,262437
1944.95424,750848
1961.98126,9563551
1995.97594,281139
2013.00225,2985999
2028.06543,6377693
2039.95366,475019
2044.05840,3845267
2056.97987,5566754
2105.00242,1331874
2120.99977,561858
2131.11724,5967050
2172.11825,402264
2188.02996,1834003
2214.96924,1227114
2230.06483,284093
2282.07319,330043
2348.08826,496170
2364.08581,766228
2455.22588,3425806
2467.19771,713918
2471.21772,1297986
2483.19072,1187249
2499.18567,742497
2528.23116,298807
2550.15064,1346427
2560.16848,454672
2564.16171,953160
2584.27731,242272
2592.22261,680244
2611.18140,222112
2650.25388,579527
2673.26634,1095182
2689.26003,8881935
2705.25339,34421084
2719.23410,2596669
2721.29925,790923
2727.23928,693900
2737.29519,1009053
2749.30674,861862
2766.32759,8324939
2785.30352,5573470
2801.29477,5536858
2820.35445,5192169
2883.42552,8279735
2899.42434,1364988
2905.40936,334497
2986.38350,897055
2987.38996,19231718
3017.49196,366060
3025.37685,621520
3033.48734,2598991
3036.40601,2276698
3052.40226,3894725
3084.41385,964293
3100.41267,13288942
3116.41071,27607308
3120.50349,244836
3132.40686,1691936
3137.49500,316985
3138.39523,573940
3153.46841,1899940
3169.46389,1718071
3225.54209,858825
3241.53136,1382913
3256.51702,283318
3387.60544,660722
3408.72561,806914
3517.60408,258802
3547.46782,295899
3548.65369,659459
3681.56852,2299041
3752.60952,3074264
3882.78853,303779
3953.79381,382777
4019.92352,1137735
4096.94903,2313168
4112.94316,3105650
4128.93672,377506
4139.07654,1057732
4274.03193,637997
4290.02286,1826801
4301.12017,446498
4305.01366,667255
4375.12990,810734
4391.11872,2168979
4493.13740,988335
